Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.395616,52.78117,2.425024,49.51515,0.025094,-0.018216,0,0.01064,1.213766,0.138774,0.204442,11.19694,
0.5,1.430767,35.21954,7.207531,48.71907,0.072667,0.079732,0,0.052386,4.139649,0.701261,0.168047,9.749978,
1,2.336232,23.75693,10.3815,49.21507,0.149787,0.183669,0,0.088273,6.869903,1.076567,0.204807,7.80974,
1.5,2.565678,17.23189,12.189,50.14466,0.251852,0.253407,0,0.120241,8.488845,1.411804,0.181944,6.9134,
2,1.984643,13.40146,13.2012,51.30481,0.245395,0.203333,0,0.122991,9.465709,1.568726,0.187674,6.632304,
2.5,1.17944,12.00581,13.42419,51.56293,0.235876,0.182163,0,0.140203,9.66819,1.613498,0.189163,6.510468,
3,0.853566,12.35354,13.23096,51.40392,0.243051,0.070232,0,0.127246,9.086106,1.585847,0.131147,6.794365,
3.5,0.6836,15.22851,12.34521,50.84845,0.180616,0.117829,0,0.097072,8.1514,1.345755,0.133145,7.160112,
4,0.675221,20.46347,10.90464,50.54386,0.209695,0.129877,0,0.110477,6.69968,1.069244,0.198132,8.128784,
4.5,0.375722,37.11381,5.851966,49.73396,0.088168,0.07632,0,0.060328,3.046054,0.435346,0.180628,11.15333,
5,0.132193,45.39255,2.109809,46.01084,-0.020098,0.025673,0,0.010083,0.988508,0.067216,0.117031,10.89904,
5.5,-0.030441,46.86773,1.009822,43.72797,0.059698,0.100751,0,0.002001,0.533712,0.070697,0.124865,10.84218,
6,-0.045066,47.38488,0.509853,42.27134,0.022119,-0.062407,0,0.026251,0.326407,0.036828,0.138905,10.72561,
6.5,-0.028902,47.75714,0.358854,41.27298,0.012677,-0.06162,0,0.000155,0.305497,0.049439,0.117831,10.96028,
7,-0.084959,47.7974,0.270087,41.0758,-0.002427,0.045075,0,0.014793,0.244305,0.009378,0.177822,10.83616,
