Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.057633,45.06071,0.342177,40.0992,-0.04334,0.057699,0,0.022167,0.238102,-0.017792,0.186684,13.8988,
0.5,-0.098432,44.88849,0.322741,39.94734,-0.008002,-0.000024,0,0.013481,0.252189,-0.005308,0.180388,14.21806,
1,-0.024305,44.63767,0.356287,39.78034,-0.001127,0.084376,0,-0.02306,0.291861,0.008384,0.193468,14.24859,
1.5,0.022476,44.27029,0.440456,39.90396,0.041345,0.023076,0,0.01675,0.326885,0.036528,0.237881,14.46843,
2,0.04941,43.03871,0.694226,39.89857,0.070121,-0.012122,0,0.012639,0.413128,0.038826,0.24972,14.83767,
2.5,0.27846,40.82795,1.447182,40.09717,0.013942,0.01104,0,-0.00445,0.57532,0.116017,0.202265,16.21239,
3,0.796016,31.28479,4.90984,40.93266,-0.015733,0.104336,0,0.118568,1.876398,0.386238,0.144037,15.55316,
3.5,1.769039,24.0744,7.448966,42.26036,0.12734,0.207658,0,0.173902,3.309067,0.829347,0.219432,14.4303,
4,2.440572,19.08903,9.34561,43.49572,0.17171,0.402998,0,0.180715,4.499815,1.06327,0.208909,13.33683,
4.5,2.311013,15.11118,10.61881,44.69275,0.145338,0.860314,0,0.264378,5.514565,1.300156,0.142285,12.6146,
5,1.684253,12.35563,11.623,46.25751,0.181683,1.56797,0,0.336991,6.435734,1.469419,0.162518,12.1536,
5.5,1.093561,10.22433,12.07041,46.74389,0.291739,2.465784,0,0.417394,6.867153,1.594512,0.170726,11.87155,
6,0.750475,8.805744,11.57953,45.41183,0.247798,3.3458,0,0.438485,7.021176,1.714696,0.162833,11.81392,
6.5,0.545283,7.525776,11.0734,43.66471,0.222976,3.711169,0,0.414496,7.120069,1.62886,0.097908,11.56814,
7,0.422268,6.646243,10.4924,41.70438,0.152783,3.445513,0,0.451009,7.258881,1.675416,0.154468,11.15374,
7.5,0.442201,6.430263,11.14222,42.97412,0.265643,2.858902,0,0.449576,7.573157,1.847853,0.125674,11.17538,
8,0.571339,7.144899,11.85844,45.28906,0.186267,2.038832,0,0.381516,7.565175,1.876291,0.158281,10.94499,
8.5,0.849079,8.712439,12.25347,47.30217,0.153205,1.160938,0,0.294966,7.427429,1.80352,0.191623,11.31223,
9,1.21793,11.42846,11.79218,47.44835,0.10953,0.717912,0,0.343615,6.763416,1.657699,0.174857,11.78821,
9.5,1.557278,14.62747,11.14504,48.07587,0.204118,0.428043,0,0.313974,6.115308,1.450327,0.25562,12.22454,
10,2.06888,18.57852,9.888277,47.043,0.074422,0.215953,0,0.275653,5.041967,1.12478,0.127655,13.40974,
10.5,1.509329,23.9316,7.922219,45.9891,0.141106,0.238445,0,0.188426,3.733777,0.870392,0.189569,14.61866,
11,0.746818,30.89133,5.467064,44.81466,0.063422,0.071914,0,0.076267,2.245289,0.576306,0.19086,15.75792,
11.5,0.188326,40.28545,1.45825,42.18196,0.068304,-0.04446,0,0.029997,0.685263,0.162936,0.212046,17.24162,
12,0.04107,42.26826,0.724235,40.62965,0.084099,0.025824,0,0.016048,0.391106,0.08259,0.145926,15.4341,
12.5,-0.051678,43.36689,0.549819,40.29648,-0.035487,0.012333,0,0.016056,0.336177,0.010225,0.192059,14.9336,
13,-0.01129,44.15625,0.291304,39.97467,-0.009357,0.010204,0,-0.014442,0.239192,0.109646,0.216253,14.59422,
