Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,2.266662,4.707737,14.26369,48.66316,0.167533,0.623879,0,0.546534,13.47506,2.503207,0.16807,10.60677,
0.249999999999999,2.23033,4.672101,14.18837,48.20694,0.222893,0.507456,0,0.525858,13.54224,2.423463,0.179651,10.79327,
0.499999999999998,2.173353,4.718616,13.88826,48.63459,0.193493,0.511902,0,0.534825,13.65066,2.4851,0.151134,10.65616,
0.750000000000003,2.253867,4.892736,14.03626,48.45006,0.237337,0.585154,0,0.504362,13.58061,2.438455,0.221904,10.94223,
1,2.12792,4.838093,13.8722,48.69965,0.162406,0.574665,0,0.443845,13.65846,2.346586,0.125692,11.04254,
1.25,2.048596,5.022326,13.7842,48.37502,0.246494,0.549118,0,0.493507,13.65623,2.338078,0.135018,11.01283,
1.5,2.186332,4.923617,14.00951,48.35558,0.212066,0.548175,0,0.463607,13.68836,2.364592,0.235751,10.94382,
1.75,2.096159,4.997326,13.85321,48.19374,0.246826,0.432593,0,0.49823,13.74384,2.427983,0.151396,11.19045,
2,2.051454,5.177196,13.77601,47.96039,0.238055,0.480768,0,0.471029,13.5914,2.343515,0.168339,11.26229,
2.25,2.066998,5.169798,13.83282,48.22201,0.110587,0.599313,0,0.484126,13.55058,2.422147,0.108846,11.04671,
2.5,2.12159,5.171021,13.61306,48.06196,0.076444,0.545372,0,0.479077,13.62642,2.382543,0.186403,11.13685,
2.75,1.981788,5.286706,13.69626,48.00422,0.215301,0.566518,0,0.506981,13.6183,2.348922,0.13796,11.10592,
3,2.056056,5.252901,13.62684,48.30383,0.160493,0.551,0,0.505874,13.65905,2.421048,0.200278,11.2496,
3.25,1.964636,5.308157,13.54639,48.23248,0.198393,0.433182,0,0.471865,13.62564,2.293425,0.208107,11.4507,
3.5,2.044175,5.330276,13.54986,48.16581,0.178939,0.5886,0,0.474234,13.65053,2.336776,0.194633,11.28553,
3.75,2.046939,5.435967,13.5698,47.90892,0.202346,0.587773,0,0.44318,13.74188,2.426024,0.195207,11.13517,
4,2.082129,5.535113,13.69629,47.9548,0.160685,0.560283,0,0.449867,13.64664,2.349343,0.221148,11.2218,
4.25,2.081657,5.383929,13.51172,47.80749,0.18497,0.512221,0,0.451324,13.6452,2.293678,0.156212,11.30288,
4.5,2.047192,5.314886,13.51602,47.88047,0.198733,0.46829,0,0.473839,13.78707,2.293705,0.145562,11.34953,
4.75,2.150689,5.477666,13.62514,48.3142,0.154036,0.59043,0,0.474546,13.71644,2.336308,0.21501,11.37228,
5,2.050991,5.489323,13.51282,48.06379,0.066977,0.519612,0,0.435561,13.68945,2.308357,0.139909,11.38414,
5.25,2.09486,5.645016,13.55974,47.88103,0.235682,0.558469,0,0.464945,13.73292,2.228847,0.166928,11.5993,
5.5,1.997382,5.467825,13.62932,47.87799,0.233553,0.562597,0,0.435201,13.63929,2.320631,0.13214,11.38147,
5.75,2.059937,5.522593,13.48568,48.01509,0.269634,0.576579,0,0.449802,13.70348,2.345203,0.166701,11.35042,
6,2.122993,5.555351,13.53456,48.16896,0.207035,0.535655,0,0.438595,13.63258,2.364782,0.152337,11.24026,
6.25,2.028023,5.526211,13.57942,48.22669,0.24081,0.498078,0,0.489605,13.66637,2.316211,0.139618,11.46079,
6.5,2.003034,5.543404,13.74693,47.97039,0.166838,0.51786,0,0.515483,13.87599,2.322615,0.171206,11.21297,
6.75,2.009822,5.566177,13.57339,47.78705,0.066622,0.600558,0,0.45355,13.7445,2.383541,0.153657,11.2284,
7,1.973302,5.602599,13.43531,48.39132,0.199613,0.418171,0,0.435412,13.63787,2.39296,0.147142,11.07958,
7.25,2.07951,5.537031,13.5823,47.81119,0.105543,0.467192,0,0.442875,13.67517,2.46606,0.190834,11.28996,
7.5,2.041926,5.621005,13.50143,47.88639,0.243986,0.443842,0,0.460364,13.69101,2.435964,0.19972,11.18083,
7.75,2.086289,5.530144,13.48372,48.1444,0.192762,0.523714,0,0.487799,13.68261,2.2627,0.165563,11.45017,
8,2.147271,5.545678,13.70286,48.09282,0.14391,0.471653,0,0.471827,13.40025,2.317345,0.167459,11.39289,
8.25,2.047901,5.406756,13.44688,47.96084,0.19994,0.492619,0,0.478306,13.60272,2.257292,0.127336,11.22682,
