Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,0.399947,53.1566,2.452345,49.49588,0.024825,-0.017748,0,0.010676,1.228011,0.139731,0.20516,11.19737,
0.5,1.44312,35.47617,7.286419,48.70152,0.071509,0.079451,0,0.052618,4.188206,0.706125,0.169417,9.750266,
1,2.355783,23.93472,10.49774,49.19884,0.149958,0.182946,0,0.088657,6.949843,1.083911,0.206477,7.809958,
1.5,2.586232,17.36266,12.32331,50.12848,0.250114,0.253495,0,0.120591,8.587196,1.420992,0.183429,6.913587,
2,2.000001,13.50309,13.34796,51.28662,0.244659,0.202972,0,0.123599,9.57551,1.579692,0.189207,6.6325,
2.5,1.189264,12.097,13.57,51.54559,0.23481,0.182082,0,0.141432,9.78043,1.624938,0.190136,6.510674,
3,0.86003,12.44648,13.376,51.38577,0.241737,0.07031,0,0.128055,9.191146,1.597034,0.132217,6.79458,
3.5,0.688796,15.34307,12.48014,50.83062,0.179712,0.117211,0,0.097464,8.246151,1.354442,0.134232,7.160333,
4,0.680391,20.6158,11.025,50.52751,0.206664,0.13009,0,0.110041,6.777899,1.076693,0.199889,8.128998,
4.5,0.381606,37.38044,5.917128,49.71497,0.088964,0.076848,0,0.060369,3.081617,0.438363,0.182131,11.15357,
5,0.132858,45.71321,2.135019,45.99264,-0.020861,0.025675,0,0.01007,0.999986,0.068003,0.117984,10.89934,
5.5,-0.030399,47.19778,1.023272,43.71024,0.059251,0.10025,0,0.002006,0.539944,0.071186,0.126018,10.84235,
6,-0.04535,47.71828,0.516934,42.25581,0.022058,-0.062403,0,0.026342,0.330243,0.037084,0.140036,10.72592,
6.5,-0.02883,48.09373,0.363071,41.25619,0.012611,-0.061154,0,0.000155,0.309088,0.049889,0.118791,10.96031,
7,-0.085753,48.13435,0.274288,41.05804,-0.002405,0.045072,0,0.014844,0.247176,0.009416,0.179286,10.83651,
