Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.076503,44.18805,0.239507,38.46779,0.02916,-0.007244,0,-0.022906,0.29166,-0.011681,0.194783,12.15064,
0.499999999999998,-0.100494,44.78988,0.38102,38.67306,-0.03937,-0.007035,0,-0.03596,0.290988,-0.015741,0.232648,12.16166,
1,-0.111283,45.13275,0.33362,39.03599,0.026159,0.075557,0,-0.006446,0.261447,0.017711,0.216122,11.99326,
1.5,0.005362,45.45779,0.31179,39.3163,-0.012683,0.072929,0,0.011844,0.328169,-0.011605,0.186283,12.1987,
2,-0.026158,45.64833,0.309884,39.36373,0.005898,0.034682,0,-0.019686,0.341302,0.034239,0.12475,11.94399,
2.5,-0.089093,46.21169,0.300664,39.8623,-0.037628,-0.041366,0,-0.022958,0.326132,0.011785,0.161907,11.92386,
3,-0.010273,46.13229,0.295501,39.56842,0.00624,0.021796,0,0.021604,0.268782,0.018788,0.173466,11.93879,
3.5,-0.072519,46.29935,0.382723,39.90913,-0.010281,0.063511,0,-0.015289,0.272922,-0.021711,0.141517,12.03105,
4,-0.038235,46.15258,0.314853,39.62773,0.0222,0.082531,0,-0.015884,0.382053,-0.008565,0.174155,11.88488,
4.5,-0.015581,46.08054,0.45063,39.95004,-0.028827,0.021967,0,-0.014699,0.406952,0.090453,0.214473,12.03731,
5,0.048762,45.17229,0.803986,39.89393,0.039894,0.003177,0,0.035463,0.564422,0.077222,0.206371,12.02744,
5.5,0.199272,43.30082,1.734452,40.71897,-0.024351,0.062471,0,0.0288,1.095632,0.229493,0.225981,12.19115,
6,0.478874,38.65904,3.625254,41.82328,0.04265,0.105947,0,0.073613,2.560072,0.548697,0.169153,12.86625,
6.5,1.458148,15.78987,9.952205,42.97405,0.134373,0.269204,0,0.19668,8.135927,1.795602,0.169535,9.411143,
