Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,40.09992,1.551237,6.823313,6.555487,20.9884,0.098787,0.006162,0.288621,5.242288,1.024141,0.11459,7.788674,
1.5,42.34959,1.798817,2.250358,8.155225,23.43422,0.141937,0.046845,0.409316,8.14928,1.548301,0.10292,5.366159,
3,44.09265,1.811001,1.594699,8.647862,24.59352,0.130931,0.046845,0.430718,9.111234,1.784018,0.11283,4.920484,
4.5,44.42108,1.768764,1.618566,8.715502,24.69772,0.15187,0.045086,0.42448,9.42562,1.758448,0.096665,5.032433,
6,44.08041,1.705966,1.693727,8.544886,24.5268,0.149148,0.04183,0.424619,9.431219,1.81281,0.062282,5.082946,
7.5,44.16037,1.653675,1.71442,8.536502,24.59392,0.16122,0.063115,0.405857,9.441113,1.765641,0.09984,5.11289,
9,43.9511,1.659187,1.789272,8.400666,24.47484,0.114675,0.050978,0.426462,9.472075,1.753952,0.103027,5.149495,
10.5,43.80851,1.70967,1.732309,8.38397,24.36085,0.142666,0.058331,0.391505,9.479095,1.73489,0.040564,5.229079,
12,41.77147,1.473734,1.614834,7.934011,23.1761,0.128062,0.051561,0.408541,9.337772,1.679835,0.077796,5.128552,
13.5,41.91109,1.519187,1.679499,7.955987,23.27521,0.134171,0.023181,0.389775,9.240127,1.715503,0.074277,5.069764,
15,44.62197,1.772382,1.748886,8.614724,24.83942,0.154611,0.032289,0.398435,9.519804,1.807143,0.116307,5.058128,
16.5,45.59898,1.83151,1.788683,8.850123,25.49255,0.147321,0.059607,0.410384,9.489292,1.763134,0.070523,5.055571,
18,45.17986,1.846299,1.733732,8.844112,25.22703,0.14795,0.062029,0.429927,9.355359,1.76044,0.121661,5.010982,
19.5,44.43015,1.84147,2.06705,8.661727,24.75994,0.135743,0.082334,0.424426,8.832872,1.643224,0.08683,5.014212,
21,44.51463,1.797686,5.071314,7.960068,24.34755,0.120503,0.053699,0.398484,6.806783,1.300078,0.077781,6.384756,
22.5,46.64597,0.691986,19.39978,3.644294,22.82754,0.02549,0.022518,0.101417,1.81094,0.492169,0.124417,11.014,
24,43.74266,-0.029571,27.49854,0.32176,19.58888,0.00529,-0.014653,0.00486,0.240927,0.020769,0.133156,9.789985,
