Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.74976,2.43184,6.67838,7.009853,23.71753,0.155185,0.079811,0.038506,0.51209,5.557732,1.109249,0.088382,6.210468,
1.5,44.00341,2.619516,2.410063,8.020634,24.69061,0.186464,0.113174,0.058919,0.656454,7.829743,1.572143,0.08714,5.024343,
3,44.20362,2.442744,1.87831,8.170278,24.90574,0.18674,0.116233,0.036264,0.63973,8.436523,1.603666,0.089919,5.020217,
4.5,44.16701,2.046604,1.928219,8.059361,25.01382,0.194981,0.100633,0.06228,0.659358,8.489483,1.646652,0.053204,5.161139,
6,44.38104,2.155691,1.972141,8.178206,24.93684,0.223777,0.115682,0.021366,0.625744,8.567373,1.617994,0.090728,5.226225,
7.5,44.15546,2.155408,1.915657,8.180878,24.90171,0.172613,0.115025,0.047196,0.633004,8.464588,1.602643,0.115151,5.135646,
9,44.19419,2.336131,1.964993,8.191516,24.8888,0.198856,0.121718,0.018593,0.600153,8.390712,1.584355,0.068861,4.954313,
10.5,43.79764,2.484655,2.212982,8.005795,24.67963,0.1854,0.109713,0.031574,0.652061,7.905416,1.500917,0.06734,5.11437,
12,43.76041,2.513041,3.918986,7.615966,24.37207,0.178373,0.105582,0.05624,0.562046,6.75449,1.322366,0.100544,5.548619,
13.5,44.01292,2.064997,9.547442,6.241868,23.41342,0.096626,0.08144,0.017358,0.443517,4.233254,0.854771,0.112645,7.236982,
15,44.63037,0.356898,24.27192,1.646012,20.8173,0.049213,-0.003786,-0.001673,0.0711,0.751711,0.119509,0.132477,9.684622,
