Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,48.68204,0.209436,30.1814,1.18611,21.43126,-0.00902,0.727721,0.096452,0.119948,8.846105,
1,43.88972,1.245307,13.77571,5.218722,21.21559,0.068211,4.334422,0.635763,0.108481,7.181908,
2,44.16806,1.670483,7.133767,7.104345,22.24609,0.099616,6.44323,0.952121,0.092646,6.3758,
3,44.93693,1.047063,4.971027,7.897773,23.79031,0.122543,7.344734,1.101154,0.087525,5.68085,
4,44.91969,0.652477,6.16018,7.595459,24.56379,0.127675,7.128417,1.013178,0.113221,5.264728,
5,45.7219,0.787745,12.0753,5.994738,24.29358,0.094588,4.931904,0.674516,0.074298,6.199294,
