Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,41.34897,1.755887,3.462597,6.93725,21.59791,0.200227,0.084753,0.39458,9.372769,1.410337,0.128008,8.708439,
2,42.79683,1.63564,3.651391,7.213134,22.47839,0.204777,0.062788,0.411094,9.434425,1.356518,0.168689,8.937425,
4,43.09997,1.634303,3.927149,7.255596,22.60233,0.214643,0.071097,0.36327,9.388327,1.269851,0.117761,9.117186,
6,43.2512,1.05909,4.169471,7.246994,22.70714,0.204563,0.066699,0.391186,9.648733,1.324409,0.131074,8.927358,
8,43.20542,1.211811,4.183721,7.30625,22.62465,0.208084,0.049814,0.456737,9.221463,1.329458,0.131657,9.156031,
10,42.90894,0.791395,4.224833,7.160057,22.5583,0.186394,0.068791,0.488278,9.464851,1.323522,0.164303,8.9769,
12,43.10019,0.619538,4.233698,7.244237,22.67125,0.213518,0.054807,0.464017,9.434551,1.333777,0.142662,9.089678,
14,42.97712,0.933845,4.180508,7.250089,22.58762,0.205928,0.051509,0.475425,8.878621,1.349816,0.159432,9.434066,
16,42.95099,1.173634,4.259579,7.156722,22.5305,0.189486,0.056675,0.44483,9.590291,1.262664,0.146027,8.802021,
18,42.76797,1.201721,4.186071,7.169512,22.37935,0.193213,0.063572,0.47222,9.607883,1.310694,0.110959,8.934461,
20,42.89245,1.34085,4.02038,7.159433,22.38596,0.200752,0.066398,0.401641,9.65342,1.358583,0.172549,9.14836,
22,42.57943,1.587306,3.553416,7.257915,22.36166,0.192944,0.063553,0.327304,9.504143,1.349215,0.160625,9.044402,
24,43.0453,1.621917,5.254655,7.130746,22.42549,0.171198,0.064844,0.445538,8.26883,1.361939,0.090729,8.433656,
26,43.61559,0.063926,25.42615,0.73967,19.51138,0.039916,0.014872,0.027455,0.628625,0.043434,0.179715,12.29731,
