Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.07908,2.667683,4.86017,7.803403,23.65544,0.101675,0.111147,0.040766,0.640703,7.001327,1.563973,0.108331,5.882942,
1.5,44.68235,2.739658,2.474714,8.190994,24.43469,0.10738,0.144206,0.015884,0.66351,8.564315,1.845297,0.106234,5.838118,
3,44.3525,2.577195,2.599866,7.891032,24.17186,0.142236,0.134926,0.022437,0.576063,8.78835,1.869175,0.111709,6.022121,
4.5,44.24004,2.459103,2.748317,7.759164,24.08567,0.140411,0.130388,0.034364,0.547709,8.943537,1.853626,0.147731,6.288008,
6,44.08599,2.447888,2.854307,7.619875,23.92576,0.125829,0.130889,0.02612,0.517868,9.036962,1.85495,0.117226,6.439336,
7.5,44.09008,2.385442,3.021917,7.521149,23.92125,0.113401,0.148347,0.041958,0.523012,9.072252,1.855636,0.113507,6.546573,
9,44.26954,2.396928,3.065263,7.551951,23.99521,0.095498,0.140795,0.029172,0.484322,9.10906,1.820128,0.111453,6.67025,
10.5,44.06934,2.377452,3.110247,7.499472,23.89437,0.110671,0.12748,0.027044,0.52099,9.121408,1.772461,0.137948,6.548431,
12,44.08123,2.298233,3.078652,7.438827,23.90477,0.121947,0.12418,0.016528,0.507694,9.093779,1.877605,0.085516,6.660054,
13.5,43.966,2.305241,3.069218,7.499488,23.81104,0.096441,0.151059,0.038985,0.495745,9.150678,1.756229,0.096465,6.599247,
15,44.08091,2.301269,2.993479,7.567276,23.90801,0.124818,0.14451,0.059661,0.519528,9.071051,1.876861,0.123166,6.50133,
16.5,44.31321,2.311634,2.944877,7.655103,24.12931,0.113481,0.152907,0.031408,0.496151,9.032912,1.873889,0.093773,6.412865,
18,44.31773,2.41368,2.792594,7.766206,24.09879,0.145874,0.155382,0.020668,0.528402,8.877115,1.857027,0.097215,6.275061,
19.5,44.40555,2.584961,2.63469,7.942911,24.16505,0.128037,0.154064,0.003985,0.605394,8.782839,1.901176,0.126392,6.084989,
21,43.25858,2.612528,3.505177,7.637871,23.33082,0.112509,0.133289,0.041126,0.648566,7.97838,1.753543,0.1356,5.825414,
22.5,42.78505,1.36049,15.2902,4.47311,20.63924,0.045063,0.075664,0.017539,0.375969,3.553249,0.824166,0.118052,8.447249,
24,43.75069,0.050221,28.25085,0.514752,19.18659,-0.003733,0.01808,-0.012484,0.013799,0.384925,0.093807,0.152448,8.545244,
