Distance (µm),S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,
0,0.026004,0.005233,0.132436,2.516248,0.327583,0.161149,11.9591,44.14492,0.697754,20.8868,2.511264,20.2343,
1.5,0.164416,-0.005018,0.313598,9.281185,1.216654,0.114176,7.442477,41.93795,2.048259,3.800666,6.552613,22.62617,
3,0.151608,0.032398,0.317199,10.45455,1.327903,0.125968,7.38627,43.60152,1.980677,2.48026,7.085871,24.04059,
4.5,0.168206,0.031941,0.30017,10.63367,1.310326,0.126606,7.677503,44.10933,1.890765,2.621832,7.074347,24.27917,
6,0.173657,0.042876,0.302934,10.75274,1.309132,0.164009,7.843582,44.04952,1.835577,2.790622,6.932149,24.12604,
7.5,0.179824,0.034436,0.269432,10.81987,1.272839,0.157728,7.952662,43.94954,1.755359,2.917332,6.801572,24.06096,
9,0.175143,0.023345,0.240666,10.77802,1.264583,0.111831,8.100304,43.85454,1.770829,2.939653,6.815838,23.99383,
10.5,0.166656,0.043531,0.270146,10.73512,1.256607,0.113361,8.182902,43.70855,1.746592,2.92836,6.701751,23.93208,
12,0.160344,0.02008,0.252451,10.80988,1.251561,0.140387,8.215824,43.75164,1.767727,2.996001,6.701444,23.89047,
13.5,0.147996,0.034301,0.247216,10.74659,1.273271,0.149444,8.16122,43.67021,1.664323,3.004798,6.607869,23.99793,
15,0.177969,0.020392,0.289482,10.82993,1.261223,0.103027,8.164122,43.77557,1.744133,3.022745,6.681869,23.85728,
16.5,0.159819,0.029636,0.244697,10.85785,1.31729,0.147986,8.136586,43.67726,1.699244,3.013363,6.760376,23.85474,
18,0.14562,0.014855,0.262617,10.85925,1.268315,0.13875,8.157866,43.56728,1.712881,3.008313,6.656273,23.84989,
19.5,0.16819,0.041714,0.257267,10.71159,1.254712,0.109323,8.112123,43.49416,1.707561,2.965879,6.722591,23.75423,
21,0.184406,0.033126,0.250833,10.72049,1.28757,0.117302,8.023754,43.54427,1.712416,2.940839,6.727373,23.7408,
22.5,0.187213,0.028328,0.268117,10.6958,1.224961,0.133912,7.998591,43.72676,1.780285,2.898692,6.829915,23.94412,
24,0.166464,0.015034,0.296079,10.59184,1.283246,0.119325,7.784689,43.65609,1.813341,2.712018,6.89863,23.92897,
25.5,0.165015,0.044582,0.322531,10.61926,1.315556,0.165746,7.605989,43.94898,1.882423,2.604258,7.090423,24.10279,
27,0.181542,0.020498,0.323825,10.27054,1.282722,0.080932,7.190945,43.67279,2.005442,2.587386,7.172211,24.0817,
28.5,0.151658,0.012315,0.336528,7.935917,1.069001,0.130812,7.501589,45.04658,1.881878,6.351583,6.878109,24.23036,
