Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,46.8228,0.413441,20.54726,3.614031,21.66171,0.092038,0.038304,0.010444,0.172813,3.832808,0.571805,0.153333,10.42517,
1,46.59614,1.292881,8.236428,7.523451,23.817,0.163216,0.118328,0.047006,0.387208,8.426613,1.401818,0.153922,6.902575,
2,44.73803,1.756828,2.363904,8.63777,24.29957,0.194434,0.133041,0.063205,0.462816,10.11937,1.662121,0.080251,4.866991,
3,44.6848,1.763786,1.597274,8.687611,24.4461,0.184279,0.163252,0.068019,0.465031,10.40594,1.742315,0.090304,4.939773,
4,44.57037,1.738031,1.494481,8.698202,24.42088,0.181334,0.157393,0.047119,0.440368,10.50744,1.683414,0.101163,5.02637,
5,44.6649,1.676129,1.532146,8.62148,24.40702,0.207204,0.176822,0.033257,0.429304,10.54313,1.764885,0.095644,5.108805,
6,44.70645,1.510151,1.608357,8.675724,24.38337,0.203157,0.175916,0.053409,0.446946,10.59607,1.753371,0.094482,5.240828,
7,44.42456,1.196674,1.659948,8.623496,24.2848,0.184745,0.15804,0.050714,0.429973,10.62014,1.720815,0.03818,5.23516,
8,44.38702,1.179188,1.682688,8.611865,24.22927,0.197421,0.183855,0.045675,0.442749,10.53798,1.683813,0.070225,5.293159,
9,44.22717,1.343382,1.689157,8.471541,24.15878,0.191306,0.150351,0.044171,0.458897,10.47375,1.724134,0.094382,5.269035,
10,43.82229,1.670059,1.64003,8.370711,23.86276,0.191428,0.187226,0.040003,0.470434,10.41369,1.735665,0.039768,5.084685,
11,42.32454,1.696917,2.215019,7.800483,22.8418,0.192639,0.162424,0.035083,0.490273,9.96537,1.752588,0.077048,4.992832,
12,39.92561,1.485926,5.006001,6.36922,20.92829,0.160517,0.110316,0.016823,0.432069,8.574416,1.454779,0.087306,5.582172,
13,43.64727,0.298368,23.10179,1.926582,19.6513,0.031595,-0.006889,0.023094,0.108605,2.259228,0.366934,0.125762,10.13976,
