Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.61178,2.026557,6.563755,7.427438,23.00552,0.09875,0.49527,0.18164,6.692338,1.641946,0.096549,6.08238,
1.5,44.0234,2.273179,2.566499,8.331607,23.89377,0.137286,0.693105,0.175933,8.940217,2.201008,0.065205,5.472852,
3,43.44859,2.1389,2.280448,8.187083,23.63245,0.128497,0.66687,0.180621,9.185361,2.222709,0.079191,5.452161,
4.5,43.66891,2.091887,2.395893,8.19139,23.74357,0.129747,0.645457,0.231695,9.176058,2.192352,0.121451,5.475047,
6,43.50838,2.102654,2.426694,8.126168,23.74981,0.110394,0.652613,0.207711,9.080183,2.153857,0.095614,5.431848,
7.5,43.53315,2.095521,2.413119,8.223564,23.70719,0.108208,0.671213,0.18835,9.011696,2.189967,0.12086,5.466838,
9,43.67005,2.116809,2.424653,8.180099,23.89311,0.134396,0.665965,0.177811,9.003848,2.149271,0.057264,5.386702,
10.5,43.52465,2.138275,2.445395,8.20576,23.74293,0.118633,0.664111,0.232015,8.897635,2.179136,0.072745,5.39654,
12,43.59383,2.151452,2.475394,8.199387,23.80135,0.12312,0.645493,0.21376,8.894528,2.154622,0.075401,5.384434,
13.5,43.49926,2.128835,2.451842,8.249775,23.77477,0.144551,0.643808,0.211537,8.734133,2.088645,0.094636,5.316526,
15,43.6068,2.157033,2.463103,8.356249,23.81733,0.126134,0.644521,0.189889,8.647821,2.092512,0.09116,5.374362,
16.5,43.44574,2.150197,2.38909,8.353226,23.76098,0.104363,0.632826,0.1873,8.576116,2.132163,0.095358,5.321359,
18,43.25794,2.251808,2.496264,8.436215,23.66978,0.08536,0.60494,0.214227,8.270825,2.031326,0.115658,5.181564,
19.5,42.39828,2.292553,3.293662,8.253647,22.94028,0.107829,0.572496,0.217027,7.322109,1.807446,0.063774,5.502148,
21,41.21634,2.084784,7.318872,7.096435,21.36183,0.086319,0.43416,0.120748,4.955494,1.241006,0.116558,6.882481,
22.5,41.81501,0.98879,18.98739,3.480948,19.42166,0.051817,0.134135,0.054852,1.553982,0.473612,0.161852,9.081975,
24,43.1667,0.083919,28.15356,0.499348,18.86724,0.001467,0.02886,0.002281,0.320178,0.040498,0.123851,8.236198,
