Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
24.5,0.059758,12.25068,14.47106,0.647914,-0.005107,0.019777,0,0.019478,0.248779,2.456288,3.402956,23.34978,
25,-0.105746,12.22789,14.43237,0.693014,0.047359,0.042764,0,0.046073,0.245546,2.54824,3.411719,23.44432,
25.5,-0.066632,12.32177,14.62981,0.65238,0.070946,-0.020056,0,-0.021072,0.193996,2.519774,3.515154,23.44052,
26,0.023006,12.47562,14.44877,0.696493,-0.001124,0.012787,0,-0.007219,0.150874,2.437354,3.612227,23.31488,
26.5,-0.01814,12.4343,14.62055,0.653325,0.070481,-0.021365,0,-0.031567,0.176833,2.507034,3.487287,23.52303,
27,-0.008806,12.46651,14.39848,0.665822,0.005722,0.015049,0,0.039234,0.167352,2.51009,3.380771,23.42736,
27.5,-0.056364,12.48172,14.50619,0.636743,0.015612,-0.027017,0,0.035438,0.21362,2.590498,3.44331,23.3855,
28,-0.006295,12.50347,14.64524,0.764217,0.020124,0.101594,0,-0.035573,0.210844,2.497284,3.419625,23.402,
28.5,-0.04421,12.59793,14.60487,0.7861,0.172858,0.036837,0,0.018439,0.203693,2.48377,3.390589,23.3923,
29,-0.035462,12.79238,14.98234,0.893047,0.100418,0.029098,0,-0.032726,0.252246,2.436655,3.460019,23.55905,
29.5,0.020278,12.94604,15.1915,1.008282,0.028066,0.071384,0,-0.006634,0.23513,2.444601,3.517459,23.65303,
30,0.02431,12.89768,15.17167,1.29799,-0.067105,0.047648,0,0.021792,0.305368,2.544673,3.418928,23.58581,
30.5,0.017637,13.39939,15.85675,1.932472,0.080948,-0.008039,0,0.019847,0.366744,2.601109,3.488601,23.58113,
31,0.204753,13.76549,16.67369,3.749393,-0.029213,0.003394,0,0.022583,0.555962,2.541113,3.371217,23.94439,
31.5,0.568477,13.9952,17.61996,8.645643,0.093808,0.09987,0,0.06783,1.382441,2.668587,3.22321,23.4541,
32,1.314766,12.84342,17.42291,21.95451,0.039485,0.18804,0,0.284814,4.055425,2.906629,2.528059,21.30669,
