Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.073751,27.69195,0.486897,20.03836,-0.018413,-0.010717,0.021955,0.304055,0.057204,0.139163,8.276461,44.19626,
1,0.526298,23.53442,2.195928,21.71481,0.033489,0.107329,0.041252,0.969659,0.368718,0.133407,9.514191,45.91405,
2,1.682041,12.12983,5.948366,22.9049,0.05116,0.30433,0.136398,3.695595,0.941893,0.107372,7.76177,44.51163,
3,2.146124,6.18813,7.533847,23.39748,0.103359,0.49204,0.176605,6.138709,1.509954,0.119694,6.36178,43.76854,
4,2.137731,3.540389,8.083775,23.57037,0.095423,0.59893,0.187537,7.738789,1.91847,0.086082,5.634775,43.39711,
5,2.164596,2.632831,8.168411,23.74306,0.10209,0.622812,0.19331,8.633952,2.132735,0.104629,5.377581,43.54426,
6,2.092324,2.482581,8.106286,23.59532,0.119215,0.670474,0.205129,9.005124,2.181333,0.109267,5.42776,43.3745,
7,2.03651,2.512524,8.002551,23.57897,0.116648,0.661175,0.189659,9.227746,2.232923,0.111437,5.503488,43.44075,
8,2.004983,2.648576,7.9305,23.50247,0.102055,0.680152,0.188866,9.31489,2.260316,0.130401,5.653569,43.44057,
9,1.924931,2.623123,7.830854,23.2862,0.116221,0.662524,0.164562,9.33457,2.187599,0.079707,5.787956,43.06096,
10,1.937722,2.751093,7.869471,23.56232,0.121931,0.676435,0.146794,9.3278,2.256175,0.093391,5.87892,43.5701,
11,1.891815,2.800677,7.822489,23.46658,0.104829,0.659733,0.160281,9.384297,2.265738,0.096519,5.893589,43.44532,
12,1.920651,2.787249,7.85613,23.39136,0.129661,0.667524,0.177956,9.397638,2.216911,0.084352,5.917744,43.40518,
13,1.916387,2.744034,7.810055,23.56339,0.122626,0.635196,0.177287,9.383356,2.163517,0.108945,5.892951,43.48753,
14,1.876953,2.73432,7.83594,23.38382,0.107452,0.665015,0.168137,9.326291,2.209239,0.167624,5.816378,43.24912,
15,1.960388,2.710166,7.814641,23.53594,0.120529,0.660224,0.18043,9.39618,2.19478,0.080333,5.874873,43.44252,
16,1.892755,2.655763,7.943794,23.45388,0.132081,0.652496,0.175812,9.337261,2.259691,0.0921,5.816835,43.45711,
17,2.023267,2.573558,8.001273,23.59707,0.120627,0.640529,0.204345,9.247252,2.234963,0.06731,5.593565,43.50863,
18,1.993168,2.47771,8.058675,23.66205,0.126513,0.648092,0.213482,9.126169,2.202414,0.089913,5.524865,43.48688,
19,2.021724,2.399991,8.270126,23.66022,0.122334,0.671196,0.199123,8.943479,2.178684,0.126921,5.374804,43.47953,
20,2.057299,2.441582,8.280449,23.58153,0.115174,0.651725,0.213097,8.573036,2.123186,0.044488,5.33231,43.22805,
21,2.229622,2.976428,8.155173,22.97957,0.125745,0.608259,0.197879,7.787868,1.953953,0.132365,5.376992,42.4652,
22,2.171869,5.100146,7.638961,21.93961,0.097185,0.50775,0.175523,6.275058,1.575343,0.096672,6.121315,41.50225,
23,1.642988,11.22697,5.870275,20.23634,0.057066,0.321242,0.144199,3.592147,0.964892,0.094044,7.858177,40.75961,
24,0.361837,24.85296,1.589212,19.03499,0.020807,0.045999,0.038381,0.727965,0.247088,0.12003,9.472017,42.93744,
25,0.010967,28.26262,0.44248,18.81671,0.005981,0.022108,-0.011517,0.264673,0.02661,0.095443,8.12291,43.04299,
26,-0.014717,28.95952,0.214595,18.878,0.003706,0.0136,-0.004122,0.214618,0.035581,0.096536,7.759949,43.22807,
