Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,39.20048,2.003269,4.354014,6.356564,20.65117,0.080533,0.071023,0.014772,0.85893,7.803133,1.94736,0.085814,5.370343,
1.5,42.31671,2.192334,2.122792,7.634397,22.93099,0.134452,0.131151,0.032046,0.796618,8.84419,2.154531,0.073065,5.399457,
3,43.82586,2.132797,2.186868,8.031432,23.80221,0.13119,0.09525,0.026519,0.768302,9.124111,2.219907,0.111346,5.760255,
4.5,44.1242,2.018799,2.36288,8.051928,23.81457,0.161821,0.124645,0.02067,0.699143,9.199535,2.182881,0.107147,5.987105,
6,44.13437,1.906781,2.539893,7.984918,23.83813,0.14234,0.118741,0.044634,0.665925,9.339371,2.226499,0.097279,6.060705,
7.5,43.99998,1.929677,2.588495,7.769091,23.71586,0.112513,0.159534,0.044682,0.670102,9.361753,2.205154,0.083541,6.325579,
9,43.95612,1.908488,2.684355,7.713356,23.81786,0.061681,0.127219,0.014488,0.636251,9.322184,2.149858,0.097643,6.289539,
10.5,44.10638,1.928336,2.709072,7.707103,23.75631,0.156562,0.120768,0.007532,0.61072,9.315952,2.186633,0.099555,6.363393,
12,43.93888,1.828254,2.850324,7.660999,23.61311,0.128245,0.101312,0.043483,0.643599,9.441186,2.18117,0.090926,6.500134,
13.5,43.79033,1.884918,2.842608,7.621275,23.66845,0.07969,0.129416,0.031663,0.619787,9.315173,2.122359,0.126222,6.332483,
15,43.72041,1.812975,2.969738,7.526803,23.62893,0.045159,0.158741,0.019694,0.596102,9.269624,2.15761,0.120168,6.47928,
16.5,43.67279,1.757595,3.016243,7.51676,23.54141,0.118426,0.1313,0.013593,0.583659,9.331561,2.101298,0.085829,6.514009,
18,43.75181,1.736788,2.999921,7.453107,23.58662,0.107143,0.130118,0.031287,0.63033,9.364521,2.118127,0.078383,6.452219,
19.5,43.5726,1.767769,3.017918,7.522175,23.37339,0.10614,0.115299,0.012428,0.608625,9.34682,2.152857,0.057899,6.585487,
21,43.50762,1.773745,3.082591,7.388581,23.39356,0.129917,0.150488,0.039693,0.577671,9.347175,2.095055,0.061546,6.524935,
22.5,43.71333,1.808455,3.126527,7.470687,23.41335,0.107018,0.151808,0.046211,0.59106,9.383045,2.121319,0.149754,6.628754,
24,43.58281,1.878432,3.126928,7.355819,23.412,0.082491,0.139108,0.020473,0.573628,9.396693,2.13215,0.10082,6.556849,
25.5,43.73814,1.8102,3.18286,7.46867,23.43326,0.110869,0.129887,0.025528,0.598807,9.449378,2.077273,0.067753,6.569259,
27,43.55719,1.723585,3.18766,7.400691,23.40016,0.088846,0.125575,0.043827,0.63039,9.294546,2.120458,0.125939,6.568057,
28.5,43.50478,1.789123,3.125381,7.415231,23.36763,0.083638,0.142392,0.040515,0.568193,9.313129,2.079792,0.136378,6.647751,
30,43.53802,1.706063,3.214727,7.438162,23.27687,0.135643,0.147852,0.006491,0.573298,9.34321,2.064467,0.124612,6.57139,
31.5,43.50204,1.702995,3.300654,7.273577,23.38979,0.093511,0.12422,0.022545,0.630054,9.309527,2.128766,0.130157,6.555989,
33,43.65485,1.763813,3.314207,7.362614,23.39017,0.085928,0.120386,0.019177,0.570368,9.371138,2.100735,0.067835,6.686548,
34.5,43.51199,1.762547,3.272202,7.315395,23.36035,0.132467,0.106535,0.030889,0.53544,9.340752,2.188142,0.098337,6.571934,
36,43.80032,1.727945,3.241362,7.356667,23.42788,0.099963,0.190646,0.056543,0.595311,9.357978,2.149254,0.091346,6.630765,
37.5,44.00979,1.70109,3.348813,7.346415,23.68757,0.109232,0.141313,0.044943,0.581517,9.308462,2.094284,0.10303,6.762943,
39,43.58098,1.721067,3.332143,7.387249,23.40067,0.099978,0.110903,0.042894,0.551302,9.336071,2.099981,0.137819,6.600805,
40.5,43.52908,1.762269,3.360499,7.292449,23.29723,0.100681,0.167221,0.017739,0.610093,9.344927,2.043404,0.142306,6.530858,
42,43.46358,1.705552,3.379028,7.342946,23.29968,0.096111,0.136227,0.013013,0.572512,9.28519,2.145509,0.140042,6.618305,
43.5,43.55325,1.648195,3.34592,7.294637,23.42477,0.107012,0.113723,0.023302,0.574704,9.39494,2.090939,0.098323,6.789473,
45,43.64548,1.705535,3.423224,7.298914,23.41249,0.126081,0.123619,0.07307,0.625601,9.407876,2.097498,0.112601,6.635131,
46.5,43.52379,1.82544,3.327289,7.307422,23.37769,0.066202,0.132996,0.03781,0.568605,9.304733,2.127962,0.145383,6.588522,
48,43.53901,1.729033,3.402735,7.319761,23.33654,0.107646,0.095077,0.067099,0.546644,9.37695,2.081371,0.164058,6.515422,
49.5,43.57742,1.742561,3.3362,7.371698,23.27136,0.067882,0.158254,0.04052,0.573648,9.270581,2.06904,0.152336,6.733175,
51,43.7158,1.827887,3.276412,7.282159,23.49697,0.090418,0.124827,0.054203,0.584806,9.463602,2.093552,0.093318,6.691481,
52.5,43.77757,1.720956,3.348339,7.300717,23.5015,0.170555,0.123108,0.049904,0.573744,9.38205,2.115873,0.227303,6.515514,
54,43.43912,1.712752,3.339389,7.276588,23.27974,0.085553,0.142532,0.013024,0.546769,9.40418,2.157354,0.157001,6.53281,
55.5,43.41175,1.696451,3.265848,7.374565,23.32302,0.103261,0.121334,0.043116,0.558107,9.406432,2.047179,0.138828,6.629886,
57,43.62218,1.716164,3.327297,7.362305,23.40099,0.052576,0.165087,0.034527,0.547496,9.280558,2.123947,0.110681,6.627206,
58.5,43.58357,1.728439,3.344192,7.359439,23.36382,0.101496,0.122118,0.060807,0.567537,9.395536,2.09755,0.114753,6.724662,
60,43.71915,1.760873,3.327518,7.309163,23.41772,0.104679,0.155732,0.027702,0.598542,9.413497,2.13413,0.097499,6.658562,
61.5,43.63099,1.767913,3.297428,7.398752,23.33582,0.127359,0.13501,0.026593,0.581382,9.36794,2.134119,0.046466,6.627139,
63,43.66945,1.735275,3.31833,7.313712,23.39455,0.126758,0.162153,0.038001,0.57984,9.347783,2.110468,0.112582,6.659064,
64.5,43.79768,1.732034,3.319723,7.35981,23.49014,0.091458,0.1328,0.011161,0.549524,9.408183,2.163682,0.095138,6.687412,
66,43.40439,1.746697,3.284643,7.237263,23.37314,0.103467,0.124991,0.024349,0.579849,9.345268,2.123615,0.108311,6.668849,
67.5,43.48948,1.760576,3.225564,7.348763,23.31248,0.079169,0.119519,0.031544,0.558831,9.364978,2.144174,0.089426,6.578626,
69,43.59079,1.723083,3.200959,7.317411,23.28143,0.136924,0.182644,0.032565,0.602907,9.324933,2.070082,0.117773,6.657014,
70.5,43.4191,1.698161,3.144058,7.380165,23.31785,0.103062,0.114103,0.048472,0.62361,9.321301,2.072768,0.108982,6.633707,
72,43.48077,1.666512,3.278604,7.385663,23.3691,0.086014,0.094185,0.001796,0.536278,9.249086,2.135244,0.126811,6.595917,
73.5,43.58517,1.754162,3.171927,7.383434,23.46612,0.093175,0.127372,0.030935,0.58768,9.268104,2.148736,0.087144,6.53365,
75,43.54743,1.772274,3.203183,7.341537,23.38223,0.061275,0.164976,0.037207,0.600507,9.367053,2.126366,0.117463,6.588258,
76.5,43.62505,1.812856,3.144756,7.407938,23.429,0.103013,0.142266,0.046983,0.568827,9.342473,2.118237,0.105398,6.608817,
78,43.68873,1.724864,3.127187,7.385771,23.49846,0.128398,0.164541,0.015436,0.634348,9.388268,2.112185,0.065271,6.431814,
79.5,43.78238,1.775262,3.094903,7.427946,23.54104,0.132318,0.147373,0.033905,0.584641,9.372713,2.140585,0.139987,6.534948,
81,43.67111,1.758437,3.008326,7.550338,23.46331,0.125361,0.14357,0.037701,0.648293,9.337725,2.073369,0.081216,6.486559,
82.5,43.73599,1.775808,2.959788,7.614765,23.46314,0.11208,0.119183,0.051463,0.646301,9.343769,2.191687,0.126117,6.367856,
84,43.5521,1.802525,2.862026,7.59541,23.48329,0.064933,0.143,0.035679,0.589958,9.279031,2.214228,0.122336,6.217746,
85.5,43.70701,1.776284,2.838722,7.603336,23.59744,0.143406,0.12308,0.036557,0.659532,9.216552,2.131712,0.150777,6.225626,
87,43.66295,1.905644,2.697484,7.778318,23.6101,0.079071,0.116933,0.03714,0.67063,9.186604,2.180146,0.173404,5.963667,
88.5,43.59243,1.984635,2.500511,7.902364,23.66459,0.068762,0.107435,0.017675,0.724504,9.04531,2.200329,0.07564,5.843248,
90,43.83846,2.047869,2.386868,8.075727,23.87958,0.11576,0.116792,0.014448,0.776961,8.885282,2.129636,0.080435,5.53884,
91.5,44.51658,2.076135,3.241712,8.30454,24.09502,0.098965,0.105452,0.027474,0.863512,8.305793,2.046124,0.121877,5.234596,
93,48.45836,0.842341,18.30991,4.874635,23.25912,0.032691,0.077099,0.008612,0.486833,3.638631,0.977902,0.139879,9.745911,
94.5,44.91638,0.035188,27.1008,0.920491,20.247,0.015986,0.002589,-0.012527,0.064886,0.635976,0.129347,0.092884,9.531867,
96,43.05386,-0.00393,28.29498,0.240694,18.90939,-0.017457,0.007437,-0.015248,0.010514,0.280067,0.010149,0.127889,8.506609,
