Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.002011,27.01847,0.288523,18.64942,0.02639,-0.016426,0.002005,0.373854,0.02491,0.143585,11.38137,42.8672,
1,0.137555,25.29391,0.997869,18.94668,0.062811,-0.004493,0.073233,1.010854,0.108246,0.165643,11.39158,43.1144,
2,0.688154,17.60226,3.783225,20.2278,0.093232,0.024604,0.311736,4.100784,0.68359,0.196517,10.43927,43.58979,
3,1.749334,4.514666,7.42483,21.82055,0.208849,0.050302,0.534613,8.723741,1.477529,0.113484,7.377267,42.1054,
4,1.722623,3.21474,7.831393,22.71518,0.231564,0.064121,0.451764,9.591835,1.510024,0.072171,7.816409,43.20161,
5,1.638568,3.066814,7.75141,22.77672,0.225621,0.068134,0.48006,9.926891,1.523686,0.135704,7.999884,43.28059,
6,1.515205,3.215481,7.672431,22.64563,0.248056,0.040947,0.426924,9.877934,1.542822,0.1092,8.181913,43.21831,
7,1.581657,3.374126,7.507362,22.6815,0.238228,0.040948,0.419386,10.01706,1.462836,0.15158,8.385061,43.1934,
8,1.565953,3.465811,7.503805,22.57214,0.246113,0.068946,0.340132,9.922516,1.487499,0.079191,8.413913,43.15384,
9,1.428041,3.57752,7.421199,22.60769,0.211879,0.094466,0.367161,10.08075,1.436882,0.12519,8.482229,43.15261,
10,1.669177,3.384767,7.368594,22.4991,0.2451,0.07268,0.377877,9.625294,1.451999,0.199434,8.512881,42.88249,
11,1.216665,3.80934,7.439084,22.54073,0.213939,0.057331,0.400239,10.15472,1.398549,0.140797,8.506216,43.23582,
12,1.072845,3.901957,7.470303,22.61014,0.2059,0.065271,0.441444,10.06806,1.476192,0.116982,8.724472,43.41846,
13,0.933751,4.020406,7.459036,22.63861,0.231659,0.047216,0.409846,10.25652,1.415902,0.109983,8.513395,43.45554,
14,0.838844,3.75705,7.373516,22.5257,0.230808,0.046585,0.457164,10.04926,1.434018,0.12581,8.355737,42.91418,
15,0.637503,3.945739,7.309665,22.6336,0.228578,0.045036,0.471014,10.14065,1.448268,0.135059,8.467112,43.16071,
16,0.417459,3.962662,7.37628,22.70764,0.192814,0.045199,0.44163,10.04841,1.420572,0.110918,8.530315,43.10718,
17,0.442767,4.138361,7.423423,22.64517,0.175481,0.050772,0.440567,10.1571,1.446288,0.17579,8.535946,43.21452,
18,0.557339,4.151293,7.396737,22.70071,0.194502,0.043637,0.43679,10.18005,1.432961,0.105831,8.533527,43.36977,
19,0.832816,3.763466,7.234183,22.31753,0.232291,0.054751,0.448849,9.924505,1.406627,0.096446,8.668742,42.58901,
20,1.06393,3.941722,7.360839,22.64479,0.235999,0.064661,0.4156,10.21905,1.383143,0.138421,8.457673,43.34346,
21,1.097803,3.962894,7.409173,22.5752,0.241179,0.043667,0.458335,10.12471,1.41791,0.139256,8.60765,43.36988,
22,1.114509,3.850559,7.39469,22.57615,0.193559,0.047943,0.449407,9.916481,1.361106,0.1415,8.400397,43.0791,
23,1.048223,3.638979,7.298007,22.49033,0.209141,0.056496,0.477446,9.814959,1.434713,0.156429,8.486126,42.75606,
24,1.144278,3.504778,7.322568,22.65515,0.244959,0.045727,0.473027,9.788339,1.440892,0.136916,8.637894,43.02029,
25,1.164293,3.629804,7.343254,22.46937,0.241595,0.016911,0.482621,10.05852,1.435702,0.152539,8.610643,43.06561,
26,1.248471,3.633164,7.395502,22.43697,0.217075,0.040239,0.430516,10.16067,1.45109,0.098095,8.530276,43.05566,
27,1.337972,3.468198,7.413298,22.60038,0.23117,0.050768,0.481679,10.20481,1.492321,0.173321,8.466752,43.2418,
28,1.334947,3.30503,7.519113,22.67195,0.25207,0.071525,0.44177,10.27643,1.493938,0.123515,8.164472,43.19703,
29,1.329678,3.063764,7.692685,22.61716,0.20551,0.063319,0.483182,10.06347,1.548794,0.109456,7.946059,42.97511,
30,1.329765,3.460408,7.767072,22.74891,0.254259,0.046568,0.479992,9.399424,1.499243,0.109054,7.661458,43.14314,
31,1.324545,6.072526,7.273501,22.44902,0.18823,0.050092,0.436939,7.39644,1.175226,0.160756,7.986126,43.03167,
32,0.603401,21.61365,2.789294,21.53697,0.052945,0.010234,0.129932,1.934366,0.295463,0.16715,11.65605,46.02358,
