Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.011649,27.76854,0.310434,18.79487,0.029548,0.006477,0.007802,0.334446,0.006771,0.131268,9.297045,42.97275,
0.999999999999999,0.227988,24.8827,1.471131,19.39597,0.007943,0.061639,0.027342,1.125075,0.209392,0.167537,9.678355,43.38998,
2,1.559982,7.184898,6.684992,21.75682,0.122972,0.367587,0.196887,7.007937,1.288006,0.115677,6.521139,41.88699,
3,1.881622,2.792063,7.996696,23.47467,0.145867,0.462934,0.243991,9.39606,1.802778,0.094551,5.153958,43.13657,
4,1.859891,1.618752,8.289967,24.02162,0.17026,0.497224,0.238287,10.11321,1.877096,0.064674,5.129242,43.63265,
5,1.905387,1.549009,8.313443,24.25692,0.175485,0.474942,0.211279,10.2898,1.828015,0.10411,5.176376,43.93547,
6,1.795281,1.646497,8.244246,24.27351,0.15351,0.518034,0.246477,10.33485,1.868545,0.095087,5.23994,44.02933,
7,1.85859,1.648807,8.174158,24.04957,0.169239,0.473474,0.220494,10.40649,1.833171,0.089329,5.216177,43.67122,
8,1.789909,1.659536,8.154173,24.09962,0.155764,0.492202,0.208928,10.39779,1.883533,0.104848,5.372632,43.76766,
9,1.760285,1.708679,8.156547,24.04582,0.169221,0.513283,0.230253,10.40537,1.870646,0.10491,5.334347,43.73534,
10,1.725297,1.675781,8.122223,24.0361,0.177793,0.475384,0.200137,10.3553,1.823052,0.052991,5.363195,43.64591,
11,1.780758,1.733171,8.148927,24.00521,0.143343,0.498832,0.191253,10.44584,1.845169,0.064919,5.358458,43.69015,
12,1.775106,1.771566,8.111273,24.02889,0.154459,0.492269,0.209352,10.31443,1.855103,0.120116,5.394111,43.67327,
13,1.809941,1.783616,8.107981,24.1373,0.193911,0.512694,0.208933,10.38373,1.851931,0.082194,5.378888,43.86298,
14,1.755651,1.770035,8.076272,24.02086,0.160751,0.50511,0.208202,10.35166,1.828445,0.096413,5.393562,43.6712,
15,1.738228,1.754355,8.0193,23.92046,0.170964,0.495921,0.229979,10.39185,1.885356,0.081322,5.404868,43.52645,
16,1.754276,1.78837,8.024718,24.03975,0.151876,0.518855,0.206869,10.35996,1.843169,0.058076,5.394122,43.56796,
17,1.73491,1.793966,8.11592,23.97157,0.149091,0.49943,0.19815,10.38128,1.848488,0.09786,5.389147,43.65064,
18,1.726436,1.842623,8.064263,24.09034,0.163268,0.503174,0.209387,10.39552,1.885295,0.074684,5.455893,43.81897,
19,1.702633,1.793468,8.163833,24.04954,0.149229,0.47632,0.211435,10.39018,1.851343,0.112802,5.407381,43.78408,
20,1.688445,1.80392,8.125695,24.2047,0.15467,0.479023,0.233152,10.36912,1.848201,0.071138,5.433651,43.8896,
21,1.761801,1.749028,8.112565,24.15905,0.176057,0.487617,0.20695,10.32958,1.865221,0.10163,5.420492,43.84649,
22,1.837445,1.707173,8.285547,24.22327,0.182716,0.497886,0.230876,10.27272,1.896976,0.117206,5.461805,44.10408,
23,1.858125,1.706645,8.285666,24.201,0.183734,0.497092,0.236502,10.28287,1.897762,0.119946,5.301544,44.06887,
24,1.864711,1.68495,8.26073,24.13531,0.149183,0.471517,0.233738,10.23487,1.853185,0.088577,5.2202,43.80941,
25,1.851459,1.650346,8.332832,24.25249,0.165762,0.487769,0.213123,10.1836,1.859169,0.07563,5.116749,43.94236,
26,1.934181,2.029343,8.260362,24.36547,0.14966,0.50699,0.235519,9.97334,1.876556,0.069214,5.159698,44.21851,
27,1.734164,4.013785,8.017447,23.92909,0.133989,0.43708,0.246355,9.010068,1.683566,0.089525,5.341319,44.28397,
28,0.818632,17.56815,4.683573,22.87609,0.061252,0.21947,0.113571,4.148336,0.76714,0.134844,9.694968,47.26285,
29,0.100519,26.29558,1.025966,19.61513,0.016415,0.014399,0.002235,0.802876,0.107049,0.119713,9.414849,43.81329,
