Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.069876,26.6482,0.491298,18.76567,0.024113,-0.004054,-0.001308,0.297909,0.016984,0.12697,10.12144,42.56145,
0.999999999999999,0.528453,19.72578,2.827889,19.97766,0.037974,0.013839,0.058038,1.397194,0.265014,0.135902,10.99469,42.50372,
2,1.503762,9.768195,6.299835,22.25746,0.075351,0.016504,0.253701,4.305957,0.845553,0.113639,8.417344,42.90289,
3,1.798367,5.04712,7.749637,23.58815,0.105944,0.050924,0.36775,6.354576,1.228095,0.127933,6.635558,43.35545,
4,1.905402,2.862228,8.390279,24.23829,0.121973,0.053358,0.41374,7.734816,1.542802,0.063341,5.667497,43.71341,
5,1.9425,1.965027,8.663719,24.6439,0.143059,0.035788,0.435873,8.533888,1.656713,0.071315,5.112339,44.1907,
6,1.883285,1.719705,8.724969,24.74634,0.13734,0.033292,0.443809,9.04952,1.699594,0.110476,4.935908,44.30379,
7,1.829942,1.564424,8.654944,24.6868,0.155616,0.051437,0.43341,9.208124,1.741014,0.093118,4.8841,44.1848,
8,1.823499,1.61994,8.606681,24.52941,0.139514,0.035863,0.424622,9.345055,1.73644,0.057361,5.004338,44.05579,
9,1.846707,1.642383,8.577849,24.66522,0.139228,0.046749,0.428326,9.35429,1.769818,0.104676,5.057739,44.21774,
10,1.807995,1.677666,8.50847,24.47828,0.128489,0.047266,0.433258,9.468571,1.764865,0.087821,5.040105,44.02189,
11,1.777708,1.687569,8.515973,24.5434,0.151015,0.043182,0.42202,9.413101,1.788654,0.097001,5.134423,44.1217,
12,1.720769,1.726583,8.514108,24.61069,0.135526,0.055327,0.422298,9.400393,1.786637,0.051087,5.203315,44.19173,
13,1.815373,1.756854,8.510403,24.53145,0.129321,0.034017,0.414295,9.469909,1.760762,0.144702,5.188561,44.18991,
14,1.699494,1.72706,8.462317,24.37895,0.12771,0.053075,0.433478,9.455433,1.773004,0.070172,5.074214,43.90302,
15,1.779142,1.771178,8.40645,24.52639,0.155063,0.03467,0.407045,9.441381,1.780304,0.084403,5.152952,44.07608,
16,1.744003,1.758436,8.522396,24.33586,0.144504,0.029897,0.424487,9.481837,1.806964,0.081369,5.182286,44.00514,
17,1.719412,1.751785,8.489813,24.4677,0.128505,0.059066,0.426734,9.487691,1.738842,0.082687,5.060924,44.00833,
18,1.667929,1.756385,8.487233,24.50139,0.135084,0.036304,0.419605,9.47928,1.771689,0.056659,5.176579,44.07228,
19,1.59039,1.791586,8.516261,24.37452,0.137893,0.035918,0.413791,9.518991,1.716469,0.091854,5.180608,43.89318,
20,1.559152,1.764566,8.480114,24.49933,0.12144,0.038483,0.433722,9.509178,1.784278,0.084468,5.125913,44.01266,
21,1.397738,1.768653,8.439979,24.4372,0.13218,0.035249,0.428616,9.479419,1.740769,0.093206,5.21205,43.81987,
22,1.497107,1.724161,8.417968,24.28108,0.148133,0.058947,0.449936,9.409141,1.765403,0.063359,5.094451,43.64318,
23,1.607309,1.675348,8.378962,24.0453,0.155885,0.056945,0.431026,9.410349,1.7567,0.093007,5.123454,43.39303,
24,1.693376,1.671526,8.339824,24.20031,0.10835,0.0432,0.435576,9.298388,1.742671,0.090281,5.026742,43.37139,
25,1.698165,1.638286,8.511139,24.35357,0.155713,0.027707,0.430374,9.344368,1.772515,0.072274,4.977009,43.70494,
26,1.705005,1.627278,8.569982,24.48722,0.155462,0.035355,0.42407,9.308958,1.776489,0.086017,4.946633,43.98607,
27,1.606539,1.615815,8.691504,24.67938,0.132789,0.041808,0.448942,9.191602,1.798315,0.112092,4.809668,44.18618,
28,1.621929,1.715149,8.731174,24.62958,0.152348,0.047725,0.422439,8.981918,1.682136,0.051237,5.016716,44.13039,
29,1.857065,1.978028,8.603315,24.45584,0.123524,0.053992,0.459394,8.554963,1.658799,0.047934,5.149008,43.98126,
30,1.886481,2.746969,8.360758,23.86454,0.098691,0.035067,0.38808,7.668154,1.494432,0.067261,5.518296,43.05618,
31,1.805743,4.770792,7.610521,22.80105,0.115138,0.021074,0.344346,6.28982,1.215209,0.102851,6.780892,42.09023,
32,1.458882,9.435537,6.181237,21.25566,0.074498,0.007199,0.233199,4.145891,0.757291,0.111464,8.682362,41.41806,
33,0.595203,19.55346,2.795775,19.2499,0.000556,0.01022,0.099686,1.379675,0.265822,0.158124,11.11495,41.55919,
34,0.021595,26.67718,0.583497,18.5458,-0.001321,-0.008874,0.003455,0.304619,0.031315,0.133222,10.37781,42.50072,
35,0.00622,27.79638,0.303897,18.57434,-0.016785,-0.005766,0.003514,0.204157,0.013798,0.113417,9.573475,42.6901,
