Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.67045,0.138519,28.04636,0.674324,19.18423,0.006769,0.026104,0.463241,0.05969,0.112858,8.102685,
1.5,40.18591,1.989671,8.957071,5.696435,20.71932,0.075603,0.195232,5.198667,1.094961,0.086656,6.537899,
3,41.88304,2.559134,2.556478,7.569529,23.14332,0.117819,0.216763,8.318657,1.677426,0.077218,5.096083,
4.5,43.76314,2.531053,1.816169,8.157441,24.39189,0.150643,0.234961,9.050449,1.764506,0.09745,5.138038,
6,44.20392,2.493226,1.941446,8.141279,24.70259,0.152834,0.209668,9.133913,1.693932,0.083815,5.316559,
7.5,44.20848,2.425379,2.025364,8.092292,24.67151,0.120227,0.205805,9.177976,1.76089,0.05155,5.514833,
9,44.15425,2.41168,2.023944,8.102218,24.57622,0.122944,0.218998,9.261028,1.701997,0.123795,5.553522,
10.5,44.14423,2.413985,2.100489,8.018057,24.56115,0.145061,0.210798,9.244309,1.767872,0.095607,5.577008,
12,44.18737,2.483337,2.111599,8.09503,24.56956,0.122838,0.20677,9.33367,1.702885,0.082587,5.419133,
13.5,44.14189,2.387041,2.059536,8.078666,24.59269,0.135482,0.218496,9.221134,1.71626,0.073221,5.530772,
15,44.07785,2.58861,1.985629,8.129631,24.57168,0.108098,0.209867,9.091066,1.754302,0.082874,5.39354,
16.5,44.26097,2.574486,1.916036,8.276788,24.73322,0.118071,0.216653,8.955811,1.766744,0.088595,5.156556,
18,44.25253,2.610558,2.828698,8.14998,24.68499,0.091463,0.219028,8.187609,1.626988,0.10647,5.170094,
19.5,45.18896,2.06224,9.920218,6.537452,23.99403,0.072568,0.16686,4.86295,0.971152,0.077927,6.856309,
21,44.903,0.095686,27.68076,0.653464,20.56639,0.003469,-0.000874,0.397993,0.061167,0.099349,8.044787,
