Distance (µm),O Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,28.69163,18.62537,0.130314,13.24291,0.192037,0.239294,-0.004619,0.0507,3.771093,
1,54.84021,36.74134,0.457457,24.31943,0.036118,0.355311,0.038321,0.125191,7.732008,
2,53.84227,34.42268,0.906333,24.13303,0.017159,0.599366,0.048803,0.106597,8.626397,
3,49.52941,30.36762,1.217175,22.30019,0.015649,0.786076,0.087528,0.111825,8.918467,
4,46.7276,29.55061,0.732728,20.85419,0.004948,0.478516,0.045649,0.143658,8.751828,
5,45.27536,29.65409,0.350003,19.93304,0.005063,0.245584,0.011905,0.164678,8.607327,
