Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.494448,22.2801,2.525625,19.81158,0.034905,0.014054,0.194952,2.122541,0.282026,0.139672,10.1831,43.83051,
1.5,1.957407,4.92679,7.32181,21.81006,0.234496,0.04975,0.687715,8.951895,1.457708,0.124955,7.794473,42.70408,
3,1.801622,4.156628,7.04347,21.8753,0.21748,0.04014,0.613702,9.76953,1.479298,0.13267,8.21062,42.39529,
4.5,1.747887,4.61961,6.753747,21.68147,0.195359,0.037703,0.58441,9.79257,1.431517,0.113858,8.434775,42.22557,
6,1.663322,4.899839,6.664217,21.61047,0.201656,0.045523,0.539704,9.67636,1.443743,0.13313,8.490417,42.17737,
7.5,1.683272,5.050652,6.589793,21.49771,0.193815,0.052779,0.546976,9.717902,1.391876,0.121067,8.681742,42.13482,
9.00000000000001,1.671438,5.198267,6.566183,21.53558,0.190359,0.058217,0.544019,9.529883,1.394532,0.112081,8.551633,42.17173,
10.5,1.651376,5.199883,6.460989,21.57855,0.175015,0.052957,0.540921,9.480227,1.377046,0.105563,8.602029,41.98534,
12,1.68101,5.341422,6.605457,21.75848,0.200178,0.0409,0.541609,9.500944,1.358067,0.164756,8.549435,42.50223,
13.5,1.659279,5.434216,6.610983,21.73513,0.163491,0.020069,0.540266,9.418198,1.349472,0.143093,8.565621,42.46347,
15,1.695438,5.404449,6.62135,21.82288,0.216249,0.036814,0.557321,9.506865,1.402999,0.153204,8.595332,42.733,
16.5,1.655949,5.460486,6.746451,21.96087,0.18385,0.059207,0.522973,9.5387,1.388777,0.156588,8.608153,42.94275,
18,1.650562,5.426382,6.694856,22.00639,0.182436,0.014861,0.594269,9.528591,1.383016,0.156149,8.562526,42.93631,
19.5,1.65563,5.481377,6.704116,22.0517,0.174031,0.045591,0.528435,9.531685,1.355807,0.097126,8.548592,43.02341,
21,1.683401,5.455369,6.669069,22.10312,0.192109,0.031084,0.564023,9.486594,1.396268,0.136446,8.552635,42.92362,
22.5,1.685778,5.400938,6.625544,21.8354,0.185479,0.056771,0.548331,9.570426,1.39634,0.140801,8.542984,42.65157,
24,1.692141,5.251392,6.62498,21.80576,0.172942,0.034993,0.554389,9.605605,1.369419,0.143193,8.587123,42.58312,
25.5,1.671372,5.176792,6.607505,21.73724,0.191302,0.036253,0.550693,9.638398,1.405339,0.146244,8.598479,42.44167,
27,1.698388,5.082923,6.6266,21.65565,0.209179,0.055749,0.553596,9.62527,1.425729,0.149787,8.59346,42.38619,
28.5,1.701723,4.952022,6.686961,21.72078,0.198571,0.027352,0.550621,9.74273,1.455245,0.1146,8.607165,42.43357,
30,1.714016,4.686434,6.771709,21.77728,0.182042,0.030878,0.559392,9.742771,1.428592,0.161705,8.463793,42.33529,
31.5,1.788006,4.298258,7.010355,21.79343,0.224663,0.04326,0.585446,9.740767,1.499787,0.141645,8.324833,42.41842,
33,1.891093,4.564198,7.344481,21.88445,0.200213,0.054177,0.716447,9.115094,1.465384,0.143714,7.854856,42.64208,
34.5,1.298586,14.21057,5.355156,20.50701,0.093731,0.028431,0.469984,4.010221,0.669541,0.155794,9.316292,43.01646,
36,0.018607,26.78693,0.59476,18.57019,-0.003949,-0.002274,0.03834,0.46348,0.013785,0.138963,9.770578,42.4731,
