Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.963724,15.19309,4.417151,21.56119,0.714684,0.064378,4.368144,0.75197,0.157643,11.18814,44.40777,
1.5,1.76881,4.039611,6.882986,22.2738,1.514087,0.084728,9.941066,1.799934,0.119511,7.720942,42.27945,
3,1.697278,2.662349,6.950866,22.20716,1.713092,0.070756,10.9838,1.937037,0.166951,7.993797,41.93019,
4.5,1.618368,2.651453,6.692824,22.06471,1.607016,0.058084,11.16261,1.900131,0.112142,8.215915,41.56951,
6,1.631315,2.901911,6.493222,21.97438,1.610741,0.075808,11.1662,1.886289,0.096124,8.491058,41.5677,
7.5,1.513232,3.023775,6.333572,21.77483,1.61766,0.092038,11.2161,1.896106,0.134082,8.666084,41.36486,
9,1.435318,3.125606,6.32718,21.74032,1.593489,0.068868,11.10874,1.854501,0.166214,8.804681,41.2705,
10.5,1.421193,3.211025,6.232983,21.83163,1.559503,0.048413,11.09804,1.888875,0.144865,8.835001,41.4204,
12,1.434691,3.197446,6.174146,21.72083,1.570971,0.070982,11.15006,1.903074,0.146573,8.905385,41.24665,
13.5,1.327829,3.299557,6.159927,21.72268,1.583064,0.060205,11.20076,1.838016,0.155098,9.061577,41.28955,
15,1.323811,3.216865,6.154262,21.6552,1.600721,0.053547,11.22677,1.864128,0.16031,9.08149,41.14478,
16.5,1.349778,3.211698,6.21801,21.62342,1.587994,0.044631,11.16589,1.856798,0.157292,8.929656,41.07829,
18,1.429799,3.149828,6.269605,21.65811,1.58523,0.072399,11.18585,1.87164,0.147768,9.013381,41.2452,
19.5,1.446675,3.035045,6.258104,21.66485,1.585029,0.080684,11.136,1.860836,0.114694,8.767817,41.11676,
21,1.460898,2.987968,6.387274,21.78755,1.594469,0.03237,11.18948,1.892569,0.152739,8.59873,41.3704,
22.5,1.560726,2.815073,6.557833,21.93583,1.607916,0.07079,11.11212,1.929009,0.146861,8.450513,41.49733,
24,1.634627,2.635375,6.843712,22.09511,1.621009,0.087613,11.06166,1.938026,0.155142,8.061912,41.72121,
25.5,1.705202,3.835822,6.729628,21.36406,1.505839,0.087451,10.02384,1.796186,0.088975,7.857706,40.93563,
27,0.341215,21.9723,2.014699,19.26371,0.298101,0.025274,2.119927,0.322163,0.178608,12.16763,42.95983,
