Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.074349,25.20523,0.848818,19.36748,0.018117,0.005757,0.035067,0.625688,0.048327,0.170264,12.04934,43.30886,
1,0.787928,18.60996,3.927306,21.8224,0.08254,0.043776,0.229168,3.111885,0.474979,0.181488,11.76541,46.10826,
2,1.840556,4.712337,7.550601,22.67384,0.196951,0.092046,0.503152,8.127167,1.290099,0.130416,7.974617,43.23294,
3,1.88578,2.982514,7.712584,22.82303,0.209974,0.07121,0.470754,9.417088,1.475098,0.13364,8.14187,43.13156,
4,1.794634,2.84193,7.482048,22.83965,0.203891,0.096115,0.440407,9.826664,1.424728,0.137072,8.436474,42.99453,
5,1.735211,2.961283,7.376918,22.38925,0.201304,0.04938,0.412316,9.829765,1.443348,0.145797,8.598213,42.51023,
6,1.594097,3.068707,7.263595,22.39597,0.198214,0.072671,0.421229,9.868361,1.397867,0.121748,8.804626,42.45499,
7,1.680632,3.164375,7.24913,22.37953,0.226063,0.055356,0.390663,9.84089,1.423262,0.127266,8.815506,42.60078,
8,1.690901,3.171861,7.263454,22.4776,0.204568,0.073072,0.394239,9.870205,1.409287,0.167662,8.799944,42.72641,
9,1.647357,3.180062,7.263448,22.35835,0.199915,0.076685,0.39701,9.863283,1.381158,0.183968,8.865874,42.56156,
10,1.645866,3.22831,7.24569,22.44264,0.188678,0.086342,0.3853,9.839651,1.423168,0.131819,8.81733,42.64269,
11,1.63205,3.258277,7.291785,22.46725,0.203236,0.074376,0.403716,9.857342,1.348136,0.141632,8.78931,42.67442,
12,1.642798,3.134745,7.229004,22.26986,0.19217,0.087096,0.417109,9.83672,1.472206,0.135458,8.820755,42.35015,
13,1.588276,3.025971,7.30532,22.41613,0.206471,0.074728,0.399307,9.763954,1.446178,0.075183,8.722251,42.4801,
14,1.717618,2.921915,7.396133,22.33822,0.218228,0.062329,0.425023,9.805331,1.435476,0.110635,8.4849,42.42806,
15,1.814486,2.982615,7.38425,22.19342,0.224326,0.07432,0.460015,9.445992,1.477769,0.115406,8.361309,42.14131,
16,1.838296,4.451635,6.886673,21.17201,0.187018,0.05908,0.481331,8.333239,1.338982,0.131218,8.201442,40.90396,
17,0.916107,14.87312,4.01239,19.48973,0.118638,0.029883,0.324435,3.7238,0.633318,0.159776,11.26119,41.33154,
