Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.05268,16.81359,4.571557,21.01753,0.152569,0.130364,0.046827,0.83926,5.367152,0.786131,0.153952,8.701767,45.26387,
1,2.354612,5.050342,7.318485,21.50719,0.248641,0.227475,0.07461,1.189766,8.787034,1.392389,0.088436,7.57708,42.71813,
2,2.337086,4.133038,7.285168,21.56801,0.25725,0.246885,0.089527,1.136167,9.174417,1.350354,0.139127,7.894426,42.41062,
3,2.25515,4.014671,7.136755,21.4845,0.23916,0.255756,0.072203,1.091216,9.222444,1.382217,0.079264,7.979612,42.13927,
4,2.243114,4.130727,7.082566,21.39751,0.229193,0.229711,0.080796,1.080944,9.066457,1.381409,0.124567,8.019787,41.93236,
5,2.267533,4.183908,7.114471,21.30764,0.247623,0.210489,0.059208,1.12307,9.086311,1.327364,0.117843,8.048612,41.89177,
6,2.33001,4.191473,7.219344,21.4702,0.232755,0.242433,0.069378,1.13062,8.900373,1.407617,0.132217,7.979436,42.1936,
7,2.373026,4.263099,7.175116,21.298,0.230467,0.232764,0.093764,1.132662,8.660361,1.336941,0.098533,7.915385,41.82246,
8,2.358321,4.415958,7.129066,21.1226,0.255806,0.237618,0.073197,1.131651,8.21016,1.295655,0.090562,7.815284,41.50334,
9,2.344601,4.862892,7.120214,21.09613,0.234188,0.21579,0.059981,1.114386,7.577527,1.175994,0.146302,7.711553,41.32215,
10,2.26003,5.868427,6.960373,21.10266,0.233012,0.194982,0.086651,1.060021,6.685074,1.05381,0.142636,7.985322,41.42105,
11,2.041162,7.697757,6.537857,20.85719,0.19868,0.183689,0.041837,0.965969,5.493004,0.913309,0.106328,8.127334,41.29737,
12,1.889967,10.77879,5.737968,20.27154,0.1574,0.124786,0.027764,0.74743,4.024529,0.668145,0.147366,8.601031,41.10214,
13,1.212719,15.53557,4.391615,19.64819,0.134476,0.122396,0.017478,0.50504,2.447853,0.428893,0.152912,9.14159,41.37669,
14,0.265494,21.53409,2.291336,18.75874,0.052849,0.034795,0.008265,0.228202,1.076722,0.166351,0.131743,10.14297,41.41694,
15,0.043393,26.73219,0.442607,18.53871,0.010951,0.016205,-0.01593,0.03073,0.400248,0.026153,0.135213,10.62658,42.51559,
16,-0.012468,26.86246,0.22534,18.43653,0.00362,-0.002059,-0.004811,0.014608,0.342777,0.008043,0.161623,10.87713,42.26822,
