Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.250642,25.64913,1.330863,21.18824,0.019015,0.012577,0.061349,0.75819,0.123494,0.132336,10.67048,45.89225,
1,1.496975,10.24113,6.757197,23.54551,0.078443,0.048273,0.395064,4.866429,0.979968,0.111882,7.864323,45.28119,
2,1.900457,3.935584,8.387074,24.29525,0.144738,0.071049,0.572676,7.8971,1.657059,0.102173,5.433434,44.64142,
3,1.930075,2.09973,8.845182,24.38672,0.166339,0.087835,0.629445,9.161325,1.870068,0.038929,4.683705,44.41841,
4,1.875428,1.756137,8.823016,24.54184,0.137149,0.057598,0.628743,9.533672,1.970408,0.080923,4.656625,44.54144,
5,1.852372,1.796766,8.791846,24.43887,0.162303,0.097709,0.563105,9.640162,1.959758,0.087633,4.929266,44.48906,
6,1.850715,1.913693,8.66053,24.35528,0.136823,0.091316,0.545806,9.693018,1.938663,0.073488,4.964349,44.38948,
7,1.848896,1.916933,8.683957,24.19109,0.143288,0.081043,0.547768,9.737164,1.913803,0.072718,5.098536,44.31339,
8,1.853077,2.002625,8.617818,24.205,0.159345,0.089885,0.542762,9.732316,1.950517,0.074357,5.078074,44.32184,
9,1.844362,1.999049,8.56416,24.16632,0.158381,0.084802,0.549656,9.81407,1.969935,0.074661,5.143151,44.2836,
10,1.845665,2.052972,8.542468,24.18781,0.13355,0.063479,0.531386,9.89777,1.941562,0.082356,5.186529,44.32054,
11,1.84462,2.088722,8.404822,24.06004,0.191848,0.091664,0.481426,9.861793,1.946188,0.077881,5.223869,44.14797,
12,1.807814,2.122054,8.370258,24.11574,0.159818,0.083656,0.476689,9.826058,1.911648,0.082026,5.295291,44.11989,
13,1.812974,2.151938,8.413435,24.13769,0.173291,0.08607,0.480391,9.809184,1.98744,0.076495,5.352779,44.33617,
14,1.830471,2.121524,8.399774,23.98596,0.153999,0.088821,0.496507,9.841746,1.948838,0.115884,5.364534,44.03558,
15,1.783154,2.143915,8.332034,24.04522,0.14474,0.084178,0.479711,9.895967,1.937207,0.048903,5.504337,44.13608,
16,1.869058,2.199803,8.381968,24.10423,0.134364,0.079105,0.470554,9.913558,1.94403,0.079768,5.442492,44.24573,
17,1.792342,2.289905,8.414965,24.04407,0.160968,0.092934,0.454742,9.908629,1.939739,0.115714,5.422684,44.31528,
18,1.733658,2.297602,8.297186,23.89198,0.144639,0.077995,0.475537,9.89922,1.909862,0.090513,5.501887,43.98309,
19,1.787279,2.342813,8.272865,24.08774,0.140937,0.089178,0.503083,9.916766,1.931609,0.113681,5.49518,44.24266,
20,1.753705,2.370243,8.28079,24.00444,0.154415,0.091677,0.463059,10.03106,1.904022,0.089148,5.501373,44.21908,
21,1.717894,2.314095,8.312237,23.92628,0.180518,0.091917,0.457505,9.942827,1.927159,0.103077,5.374664,44.09968,
22,1.731637,2.348144,8.247234,23.93621,0.160688,0.095555,0.484315,9.946484,1.924154,0.096992,5.437181,44.06349,
23,1.781621,2.339445,8.279543,23.88116,0.149812,0.091807,0.474233,9.888596,1.920699,0.093842,5.443316,43.99162,
24,1.727273,2.395125,8.262081,24.01928,0.152203,0.071333,0.476456,9.965219,1.909369,0.113851,5.513687,44.16821,
25,1.707693,2.368751,8.275465,23.89736,0.118582,0.098153,0.490331,9.974991,1.934237,0.100051,5.453922,43.94873,
26,1.70237,2.401442,8.207869,23.96681,0.169077,0.089185,0.474483,9.973201,1.909585,0.088822,5.581276,44.10843,
27,1.745895,2.422456,8.255797,23.82812,0.180979,0.091486,0.475049,9.95859,1.910272,0.105384,5.533416,44.01653,
28,1.758071,2.350659,8.242314,23.91133,0.153432,0.083369,0.489705,9.960104,1.954002,0.05753,5.515678,44.0509,
29,1.675653,2.388535,8.196733,23.89697,0.137835,0.097722,0.485771,9.936051,1.940864,0.084853,5.539019,43.95611,
30,1.753241,2.372776,8.226226,23.87668,0.155634,0.077887,0.493752,9.900821,1.917443,0.094205,5.537589,43.99454,
31,1.768344,2.3906,8.237715,23.93712,0.15462,0.083209,0.470279,10.00759,1.949799,0.092753,5.524256,44.11349,
32,1.715571,2.416936,8.187752,23.98307,0.171236,0.089723,0.489823,9.948775,1.932831,0.090947,5.508927,44.10639,
33,1.750372,2.399705,8.249268,23.87396,0.150242,0.066851,0.474191,9.980132,1.873239,0.12889,5.49557,43.98081,
34,1.732506,2.412467,8.246315,23.98824,0.164738,0.090567,0.468731,9.894838,1.871687,0.128331,5.474322,44.09768,
35,1.718804,2.424888,8.294989,24.01311,0.148288,0.084405,0.475688,9.950186,1.923739,0.047553,5.661737,44.23077,
36,1.71023,2.397164,8.264823,23.89046,0.149511,0.080019,0.491439,9.912742,1.884383,0.139148,5.58512,44.03693,
37,1.640424,2.429631,8.312134,24.00559,0.143595,0.080011,0.503878,9.978992,1.897084,0.111954,5.551992,44.22152,
38,1.718536,2.340344,8.249268,23.95825,0.195129,0.082777,0.502614,9.910466,1.90629,0.102831,5.471738,44.09746,
39,1.805256,2.359782,8.243569,24.08543,0.141124,0.095457,0.484084,9.995835,1.874379,0.081697,5.549105,44.24075,
40,1.74348,2.358803,8.282943,24.05176,0.158906,0.085624,0.49645,9.917868,1.872126,0.078642,5.520761,44.22655,
41,1.74138,2.379327,8.303797,23.97851,0.157211,0.090327,0.490312,9.981,1.931404,0.081191,5.486995,44.2029,
42,1.690812,2.356313,8.383406,24.06276,0.166195,0.084795,0.471946,9.876405,1.910952,0.055197,5.586906,44.35213,
43,1.5445,2.360752,8.29899,24.05781,0.160647,0.097907,0.477128,9.987412,1.927214,0.075289,5.596695,44.21366,
44,1.484036,2.299359,8.285539,24.0558,0.173165,0.070097,0.495092,10.08366,1.910464,0.094687,5.622686,44.23069,
45,1.568832,2.3025,8.318475,23.88696,0.147228,0.089303,0.509543,9.991946,1.906665,0.118192,5.509353,44.00866,
46,1.63896,2.273002,8.314503,23.97087,0.180238,0.068769,0.493144,9.963753,1.896791,0.094373,5.521105,44.11833,
47,1.761196,2.241557,8.338167,23.97529,0.178526,0.096028,0.506339,9.989402,1.926432,0.109225,5.423175,44.12229,
48,1.768438,2.220649,8.380499,24.13449,0.134444,0.098387,0.483686,9.948847,1.92697,0.099998,5.410958,44.27803,
49,1.823422,2.227863,8.370918,24.08715,0.168138,0.11005,0.530633,9.960312,1.947201,0.092599,5.457187,44.32274,
50,1.805086,2.159871,8.4556,24.09114,0.16903,0.079062,0.526514,9.940667,1.932201,0.068107,5.402866,44.33281,
51,1.793302,2.131314,8.447012,24.11129,0.153711,0.075048,0.559998,9.926324,1.924925,0.076979,5.351357,44.27316,
52,1.825342,2.074631,8.489629,24.15501,0.189259,0.097619,0.547976,9.857261,1.904461,0.063185,5.327937,44.36586,
53,1.831184,2.008853,8.476978,24.02079,0.169375,0.101561,0.534038,9.798491,1.958036,0.075564,5.346643,44.10249,
54,1.8389,1.989797,8.517962,24.24302,0.167825,0.090624,0.521843,9.858215,1.932688,0.063653,5.246586,44.36336,
55,1.856236,1.914482,8.576623,24.18208,0.15749,0.096157,0.533735,9.792113,1.945504,0.106248,5.169169,44.2681,
56,1.912695,1.851665,8.667161,24.30112,0.175596,0.109723,0.557854,9.719446,1.954722,0.087947,5.010378,44.3661,
57,1.912089,1.807261,8.71353,24.24253,0.176175,0.081031,0.570604,9.668506,1.965895,0.081796,5.092938,44.35128,
58,1.964761,1.729884,8.604155,24.0144,0.181171,0.085886,0.585941,9.60249,1.965295,0.103273,4.843476,43.89476,
59,2.045252,1.861185,8.344476,23.41399,0.161514,0.092181,0.625791,9.304518,1.993161,0.095695,4.715317,42.92434,
60,1.96869,3.264879,7.564875,21.9726,0.119351,0.083422,0.612408,8.265903,1.765554,0.075249,5.005013,40.93642,
61,1.463517,8.982146,5.821222,20.033,0.118762,0.054818,0.466531,5.602981,1.128055,0.102437,7.197955,39.85923,
62,0.216252,25.93637,1.152143,19.12178,0.004918,0.010068,0.069133,0.87894,0.154613,0.103305,9.618258,43.30778,
63,-0.00479,28.16455,0.326359,18.83239,0.006269,0.00636,0.011573,0.332515,0.043697,0.111536,8.884865,43.15012,
64,-0.014885,28.65595,0.225163,18.90447,0.027952,0.012356,0.0018,0.259142,-0.014494,0.122063,8.891101,43.42237,
