Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,47.1955,0.546397,21.21268,3.249467,22.25602,0.067073,0.057331,0.008858,0.085408,2.915514,0.419798,0.135746,10.78309,
1,44.38999,1.775546,4.577825,7.744321,23.45785,0.27051,0.13704,0.032661,0.273695,9.25738,1.534856,0.104103,5.741508,
2,44.09278,1.902629,2.158274,8.272764,23.69012,0.306841,0.152417,0.044849,0.302152,10.59996,1.653455,0.126107,5.161318,
3,43.84206,1.839179,1.688922,8.217669,23.7007,0.275694,0.156775,0.042944,0.301664,10.87024,1.715532,0.131844,5.182408,
4,43.85805,1.861387,1.685388,8.150043,23.6869,0.310656,0.182389,0.027403,0.28831,10.86824,1.713035,0.094126,5.406138,
5,43.97469,1.876235,1.708985,8.202782,23.68414,0.336953,0.144645,0.049282,0.287266,10.93979,1.752976,0.06292,5.364836,
6,43.88441,1.782942,1.773723,8.176932,23.64871,0.315541,0.150474,0.035452,0.270695,10.90098,1.739555,0.117492,5.407816,
7,44.1136,1.821082,1.736847,8.278073,23.75241,0.328335,0.171731,0.034452,0.290752,10.954,1.704094,0.104233,5.415187,
8,43.87571,1.813203,1.76627,8.199002,23.6099,0.330244,0.141421,0.035289,0.310629,10.96571,1.730748,0.078002,5.467174,
9,43.82676,1.745666,1.773581,8.106383,23.60986,0.301462,0.176107,0.024646,0.29999,10.92379,1.73845,0.062092,5.443207,
10,43.83401,1.778629,1.743354,8.12923,23.65554,0.297777,0.169018,0.03898,0.299566,10.99324,1.70184,0.124646,5.444413,
11,43.96146,1.790627,1.760844,8.186438,23.66373,0.295887,0.160663,0.031055,0.27715,10.90011,1.707644,0.096431,5.502853,
12,43.84467,1.797099,1.741678,8.212227,23.60227,0.302471,0.158365,0.047072,0.275714,11.03021,1.718241,0.091588,5.345153,
13,43.93794,1.826348,1.698139,8.205124,23.69496,0.31199,0.157344,0.036765,0.306676,10.93007,1.737435,0.066634,5.278913,
14,43.92149,1.866029,1.6699,8.252355,23.67778,0.334886,0.167121,0.020806,0.297303,10.86153,1.703238,0.0628,5.325885,
15,43.9949,1.913303,1.610112,8.324799,23.67564,0.318646,0.171815,0.016611,0.331628,10.79104,1.751388,0.09231,5.22094,
16,43.10413,1.944921,1.733565,8.07886,23.24299,0.303868,0.143507,0.018265,0.310121,10.51688,1.703442,0.07596,5.146432,
17,41.84261,1.94598,3.009281,7.577667,22.23196,0.287787,0.114934,0.040629,0.268381,9.44959,1.541087,0.138863,5.591766,
18,40.231,1.511409,7.624655,6.05831,20.29821,0.235387,0.067111,0.014319,0.22986,6.72056,1.105171,0.136759,7.498763,
19,43.15126,0.239185,24.50311,1.40477,19.1873,0.018404,0.017068,0.015053,0.052754,1.121049,0.148322,0.161712,10.81957,
