Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,45.41005,0.036772,28.97944,0.456857,20.04252,-0.026155,0.012179,-0.010527,0.002845,0.381058,0.024832,0.137233,9.73506,
1,44.79398,0.362407,24.01183,2.013821,20.21379,0.015896,0.018135,0.003918,0.119056,1.260282,0.230233,0.166038,11.25623,
2,42.40577,1.393492,10.16048,6.059459,21.34758,0.098397,0.080006,0.037901,0.399078,5.188313,1.076874,0.131116,8.002241,
3,43.07964,1.743086,4.864372,7.631512,22.89495,0.142325,0.126261,0.041387,0.572829,7.610859,1.503749,0.080114,6.128268,
4,44.37371,1.875244,2.560399,8.424962,24.16379,0.142736,0.133202,0.025653,0.655219,9.047752,1.828759,0.120593,5.339473,
5,45.04585,1.881379,1.792514,8.719288,24.76268,0.145635,0.133905,0.032065,0.685307,9.748267,1.977919,0.08746,5.040776,
6,45.12719,1.777371,1.63359,8.707796,24.78794,0.167312,0.138583,0.040324,0.691894,10.0862,1.961353,0.09668,5.0372,
7,45.02996,1.588138,1.67639,8.644172,24.70276,0.167797,0.147078,0.040923,0.652539,10.17747,1.987473,0.049924,5.163977,
8,44.76149,1.473284,1.672061,8.544501,24.61509,0.171208,0.148723,0.040928,0.631502,10.23225,1.925823,0.060618,5.141664,
9,44.26233,1.431377,1.667679,8.427994,24.2695,0.159784,0.132778,0.020667,0.634018,10.23664,1.906348,0.105898,5.300696,
10,44.09016,1.548735,1.69529,8.360619,24.13542,0.171433,0.134612,0.051005,0.641737,10.15371,1.967796,0.089927,5.248294,
11,43.84503,1.677122,1.734267,8.277417,23.98804,0.152046,0.121213,0.045206,0.628863,10.15991,1.916445,0.111844,5.322624,
12,43.76968,1.663504,1.677769,8.262803,23.88659,0.148479,0.144571,0.029599,0.6095,10.1306,1.964939,0.079574,5.30257,
13,43.4971,1.650595,1.73743,8.132881,23.75289,0.141841,0.127332,0.046942,0.619119,10.10001,1.965963,0.079296,5.341346,
14,43.2282,1.623139,1.708451,8.095516,23.60498,0.163057,0.120423,0.041849,0.599341,10.05868,1.956065,0.103447,5.29188,
15,43.23303,1.590385,1.754074,8.089252,23.63431,0.13959,0.143682,0.028748,0.602635,10.07323,1.908961,0.043533,5.28666,
16,42.93043,1.626488,1.710724,7.995301,23.48462,0.113319,0.130628,0.03202,0.627312,10.06854,1.936158,0.092765,5.29437,
17,42.83819,1.615863,1.705048,8.060893,23.41238,0.143329,0.113372,0.034093,0.595678,9.959352,1.90734,0.083478,5.143675,
18,43.17748,1.644452,1.7145,8.09519,23.61328,0.129579,0.150205,0.047856,0.602853,10.0312,1.946664,0.127207,5.198394,
19,43.208,1.652946,1.711371,8.158765,23.62453,0.14113,0.139543,0.03296,0.669781,9.904318,1.963649,0.071503,5.111479,
20,43.32513,1.689512,1.707888,8.228096,23.72312,0.155406,0.122073,0.022961,0.645851,9.890677,1.937488,0.060264,5.021112,
21,43.43021,1.729498,1.671742,8.303189,23.81578,0.161877,0.135806,0.041042,0.649294,9.726836,1.91889,0.036888,4.998968,
22,43.18808,1.692704,1.881628,8.284266,23.66223,0.145202,0.115333,0.058402,0.668937,9.419312,1.873807,0.072649,5.076685,
23,43.17045,1.761378,2.617257,8.12498,23.60154,0.130637,0.122763,0.042022,0.626146,8.642408,1.685289,0.054437,5.51673,
24,43.21479,1.71443,4.769251,7.525085,23.2737,0.14679,0.088664,0.020689,0.567391,7.20844,1.447285,0.09873,6.518077,
25,43.45982,1.465704,9.536037,6.20206,22.62902,0.101615,0.08197,0.009853,0.420267,4.860719,0.974218,0.116168,8.285662,
26,44.52534,0.47631,21.82019,2.264028,20.9198,0.02154,0.031817,-0.005087,0.115809,1.270961,0.269619,0.171078,11.36312,
27,42.20667,0.014126,26.29339,0.429192,18.76921,-0.007264,0.009447,-0.01594,0.015177,0.32435,0.027336,0.131771,9.875704,
