Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.86826,0.376527,22.94979,2.33128,19.8357,0.1812,0.009092,0.031802,0.035564,1.570064,0.236262,0.116724,9.843731,
1,42.14609,1.362904,8.02371,6.613235,21.72576,0.378126,0.060977,0.019757,0.103849,6.295744,1.048029,0.103092,6.375012,
2,43.09481,1.431234,3.911741,7.664939,23.22127,0.468171,0.088058,0.047149,0.112056,8.725815,1.439184,0.117187,4.890242,
3,43.68817,1.404828,2.402047,8.164665,23.9347,0.500431,0.054612,0.023137,0.15152,9.751154,1.576182,0.065705,4.434066,
4,44.30616,1.435552,1.998014,8.305165,24.34372,0.514804,0.077463,0.040057,0.150917,10.10152,1.660872,0.085182,4.467169,
5,44.63017,1.578349,1.941936,8.394895,24.45671,0.518952,0.09267,0.03109,0.138903,10.32193,1.660006,0.067372,4.331069,
6,44.76996,1.790977,1.986514,8.350478,24.53385,0.524703,0.08814,0.029997,0.15988,10.30777,1.675836,0.071865,4.311643,
7,44.47153,1.764616,2.037012,8.283723,24.12873,0.542841,0.072391,0.049013,0.128134,10.27478,1.661184,0.045521,4.472131,
8,42.17077,1.688239,2.132159,7.812502,22.08182,0.510263,0.080751,0.045362,0.115863,9.815466,1.643461,0.088488,5.015512,
9,37.86877,0.718312,5.61387,8.554311,8.693853,0.164544,0.03043,0.027168,0.045601,3.568799,1.276988,0.159519,14.80297,
10,33.46225,0.051543,7.320592,8.329905,2.230736,0.03743,0.013904,-0.000237,0.0036,1.44448,1.123888,0.088783,16.68541,
