Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.044815,27.21488,0.191021,18.54498,0.008805,-0.005409,0.019869,0.398086,-0.010326,0.185141,10.86856,42.68693,
1.49999999999999,0.064759,26.39075,0.418441,18.53747,-0.020621,-0.014066,0.012479,0.611886,0.050612,0.19957,11.3532,42.51447,
3.00000000000001,1.076576,14.56791,3.753315,18.80383,0.111321,0.001487,0.474365,5.243968,0.771948,0.122432,9.986349,40.48895,
4.5,2.084573,4.81702,6.568388,20.7376,0.217629,0.061095,0.644594,9.453049,1.235743,0.130705,8.805237,41.13045,
6,2.028569,4.676126,6.794376,21.16312,0.179955,0.063511,0.606113,9.450047,1.259104,0.153917,8.891196,41.64352,
7.49999999999999,2.00889,4.728545,6.622874,21.27831,0.227282,0.029228,0.622535,9.488289,1.270754,0.107774,8.978644,41.71129,
9,1.994621,4.840973,6.749835,21.24238,0.1702,0.03588,0.598494,9.367711,1.228593,0.169186,8.922446,41.65574,
10.5,2.007623,4.89262,6.749864,21.31541,0.16864,0.079979,0.608248,9.458227,1.26229,0.14758,9.001989,41.90937,
12,2.03015,4.988665,6.657568,21.24908,0.207812,0.038138,0.630096,9.294547,1.247161,0.108344,9.06941,41.88028,
13.5,1.948655,5.020817,6.751221,21.28162,0.192706,0.022969,0.603822,9.26768,1.25295,0.163379,8.927285,41.89605,
15,1.995448,4.923618,6.687063,21.19165,0.176367,0.066497,0.602675,9.239219,1.191959,0.138159,8.908318,41.56694,
16.5,1.949702,4.93883,6.644588,21.29635,0.209692,0.037993,0.625033,9.327916,1.211303,0.10379,9.003734,41.84536,
18,2.003609,5.067725,6.774358,21.27977,0.16172,0.047592,0.592432,9.31511,1.213144,0.135614,8.967502,41.88022,
19.5,2.083217,5.033555,6.730316,21.45361,0.18558,0.071698,0.624005,9.329743,1.231186,0.126302,8.913579,42.13353,
21,1.975881,5.02159,6.614044,21.05418,0.207653,0.048959,0.608631,9.412709,1.177764,0.121671,8.888849,41.58289,
22.5,1.939195,4.955286,6.601956,21.21792,0.203409,0.022314,0.626891,9.246203,1.209969,0.169864,8.901325,41.69202,
24,2.010181,4.945189,6.78932,21.14415,0.184345,0.047359,0.643317,9.342423,1.189914,0.177561,8.763316,41.6861,
25.5,2.061713,4.997162,6.824629,21.42485,0.185393,0.041573,0.652004,9.338531,1.283292,0.177371,9.006706,42.23672,
27,1.998531,5.01705,6.692161,21.41214,0.176623,0.060144,0.581458,9.241227,1.179682,0.111713,8.841268,41.87701,
28.5,2.017796,5.014563,6.678773,21.38592,0.183793,0.061444,0.597607,9.287177,1.216941,0.177888,8.733481,41.96505,
30,1.989044,4.922572,6.680641,21.35075,0.182418,0.047947,0.615536,9.305865,1.279752,0.13602,8.702483,41.86528,
31.5,2.043921,4.990332,6.649931,21.26711,0.157516,0.075316,0.646095,9.250667,1.191516,0.120342,8.842341,41.65623,
33,2.013476,5.101525,6.668395,21.36325,0.194463,0.049646,0.634025,9.275249,1.262798,0.162909,8.999107,41.93522,
34.5,2.000389,5.03619,6.684586,21.22281,0.193139,0.04463,0.594203,9.252165,1.20623,0.136177,8.867783,41.73968,
36,1.990058,5.066713,6.716867,21.1119,0.175838,0.061448,0.587684,9.365847,1.233534,0.148983,8.870444,41.67768,
37.5,2.086703,5.023292,6.713677,21.3132,0.175865,0.033031,0.605072,9.357964,1.230369,0.122496,8.817041,41.84046,
39,2.026356,5.045094,6.818206,21.25087,0.162813,0.039536,0.592357,9.316259,1.185928,0.131633,8.80436,41.83058,
40.5,1.9683,5.029385,6.764156,21.35076,0.197916,0.050065,0.568927,9.239386,1.211414,0.116216,8.781623,41.94341,
42,1.866664,5.033772,6.730043,21.23469,0.198845,0.043308,0.643662,9.348921,1.173618,0.181246,8.8817,41.80918,
43.5,2.020154,4.985443,6.83989,21.35871,0.210633,0.015947,0.582291,9.264585,1.264239,0.115978,9.024931,42.03693,
45,2.032512,4.983338,6.789804,21.43388,0.197801,0.036433,0.610286,9.271388,1.276766,0.159801,8.916948,42.17133,
46.5,2.072775,4.959125,6.725307,21.34304,0.171984,0.045799,0.658304,9.264955,1.23309,0.122677,8.76335,41.75311,
48,2.006794,4.920009,6.794402,21.31224,0.150801,0.055671,0.611031,9.306482,1.187194,0.136,8.803177,41.77012,
49.5,1.993102,4.997869,6.693999,21.26546,0.215618,0.027981,0.628903,9.301235,1.164554,0.139408,8.798636,41.79239,
51,1.974054,5.01415,6.796969,21.13465,0.178058,0.058512,0.614454,9.31931,1.182557,0.156431,8.812525,41.65973,
52.5,1.90031,4.994592,6.803354,21.28176,0.20156,0.042989,0.641039,9.468413,1.206123,0.125121,8.845283,41.97234,
54,2.018376,5.059707,6.747149,21.30608,0.227808,0.064392,0.641399,9.333055,1.180019,0.146963,8.847286,41.96656,
55.5,2.015383,4.913863,6.741643,21.33689,0.168875,0.051359,0.55515,9.267768,1.242138,0.115355,8.81776,41.79202,
57,1.964463,4.999548,6.717302,21.4086,0.224584,0.054001,0.670257,9.23923,1.237331,0.193264,8.743277,41.97863,
58.5,1.945,4.986009,6.676079,21.31927,0.196338,0.06794,0.612256,9.312935,1.173137,0.212644,8.832728,41.80789,
60,2.067101,4.975389,6.771623,21.29629,0.171334,0.026408,0.614055,9.39061,1.189117,0.106172,8.996176,41.91582,
61.5,2.097969,4.938074,6.685472,21.22414,0.230141,0.053132,0.606057,9.22911,1.152479,0.119415,8.896242,41.73452,
63,1.984666,4.918841,6.783565,21.28266,0.198369,0.049999,0.609039,9.277693,1.23507,0.157097,8.876694,41.84453,
64.5,2.039112,5.067481,6.780399,21.39242,0.224996,0.028664,0.567275,9.362382,1.182529,0.171036,8.844216,42.12037,
66,2.060262,4.924313,6.772069,21.20741,0.197235,0.057562,0.619539,9.270089,1.174067,0.099672,8.708344,41.70219,
67.5,2.025683,5.000106,6.752776,21.25547,0.192168,0.085703,0.630926,9.307568,1.278168,0.154575,8.859299,41.89838,
69,2.056421,4.957651,6.776933,21.27431,0.206953,0.074864,0.648792,9.229437,1.289029,0.146428,9.017059,41.92374,
70.5,2.030499,5.078451,6.793811,21.33094,0.195558,0.055694,0.611333,9.23011,1.202503,0.153833,8.889661,41.981,
72,2.008,4.935369,6.674951,21.29337,0.177931,0.05926,0.628898,9.277782,1.1978,0.067973,8.731629,41.71446,
73.5,2.072819,4.920791,6.708509,21.12734,0.190891,0.056769,0.570995,9.278282,1.184571,0.122958,8.744725,41.57653,
75,2.050574,4.969035,6.810114,21.16913,0.201288,0.049906,0.620113,9.196706,1.255278,0.109798,8.765641,41.72582,
76.5,2.012545,5.04665,6.709254,21.37533,0.184606,0.019911,0.568044,9.363006,1.207982,0.174829,8.858918,41.94172,
78,2.00843,4.961304,6.762703,21.36336,0.185223,0.044889,0.660394,9.22646,1.206009,0.165005,8.899921,41.91273,
79.5,2.069977,5.071026,6.748861,21.40067,0.195037,0.023266,0.62417,9.327356,1.226418,0.1444,8.808615,42.04737,
81,1.941348,5.051182,6.79335,21.26796,0.197119,0.045654,0.626863,9.253355,1.209162,0.153212,8.762503,41.86398,
82.5,2.026164,5.05515,6.769519,21.32412,0.208698,0.019006,0.611718,9.250217,1.151341,0.115234,8.945781,41.93256,
84,2.070755,4.98759,6.727625,21.29951,0.22943,0.015302,0.62667,9.323815,1.151294,0.141931,8.857841,41.85774,
85.5,2.055951,4.940104,6.773179,21.21897,0.201432,0.038675,0.633798,9.202986,1.148396,0.117765,8.705181,41.65308,
87,1.989482,5.052656,6.812228,21.25568,0.185229,0.069609,0.614679,9.363667,1.216875,0.125373,8.809588,41.89153,
88.5,2.070914,4.965644,6.782894,21.17653,0.185223,0.050581,0.593427,9.33875,1.218887,0.14061,8.779882,41.70366,
90,1.999362,5.06837,6.840697,21.2433,0.170358,0.042289,0.600382,9.208366,1.202484,0.163106,8.743865,41.82149,
91.5,1.999943,4.975882,6.74594,21.21177,0.183928,0.043612,0.637274,9.306866,1.233502,0.191244,8.778912,41.80986,
93,2.093052,4.994022,6.849859,21.32354,0.196617,0.050711,0.603375,9.381387,1.212853,0.146143,8.901505,42.00061,
94.5,2.02282,4.999704,6.945234,21.28226,0.19353,0.01611,0.602668,9.33555,1.177549,0.176818,8.892759,42.0354,
96,2.034209,4.973147,6.845697,21.23752,0.190612,0.053944,0.6505,9.355909,1.147608,0.123664,8.866417,41.88025,
97.5,2.08099,4.924392,6.824546,21.10032,0.218586,0.05253,0.614406,9.191774,1.226048,0.166718,8.869054,41.69967,
99,2.036172,4.95281,6.691972,21.05025,0.207315,0.03768,0.721974,9.300622,1.220261,0.131958,8.75796,41.53167,
100.5,2.045446,4.992759,6.759104,21.18748,0.193138,0.025418,0.604899,9.237311,1.166286,0.199845,8.802082,41.6682,
102,1.992308,4.988389,6.878904,21.13108,0.21748,0.050626,0.630556,9.25434,1.257496,0.138731,8.649467,41.78502,
103.5,2.078128,5.040209,6.826394,21.31155,0.200908,0.055169,0.623722,9.24658,1.265068,0.093794,8.666092,41.90933,
105,2.022033,4.975064,6.787314,21.23157,0.174447,0.093192,0.606237,9.199699,1.23719,0.134674,8.853875,41.80603,
106.5,1.972254,4.954698,6.782037,21.14249,0.185115,0.066032,0.597154,9.168155,1.159517,0.143724,8.725433,41.53825,
108,2.063324,4.969022,6.846848,21.13651,0.167009,0.055964,0.569352,9.281596,1.208032,0.148407,8.752995,41.68,
109.5,2.010631,4.914028,6.820994,21.03735,0.176813,0.045571,0.570205,9.268042,1.218446,0.156227,8.644472,41.45904,
111,1.992503,4.937053,6.846591,20.99332,0.17548,0.01927,0.635797,9.36863,1.210472,0.10737,9.131357,41.6304,
112.5,2.04911,4.994349,6.862904,21.25463,0.173947,0.0199,0.603517,9.23133,1.229368,0.191305,8.924064,41.83408,
114,2.039519,4.833359,6.830825,20.91517,0.184849,0.037359,0.614505,9.375056,1.211095,0.091245,8.821694,41.40688,
115.5,2.064241,4.731864,6.84758,21.18063,0.201587,0.050233,0.558711,9.463098,1.263358,0.113355,8.731621,41.66238,
117,2.049896,4.533217,6.90626,21.35465,0.198308,0.072546,0.591661,9.502876,1.229813,0.112471,8.76687,41.82383,
118.5,2.003997,5.957956,6.927334,21.13444,0.186029,0.060719,0.620745,8.839313,1.163459,0.097125,8.799065,42.20002,
120,0.329918,23.48148,1.977778,20.02901,0.059778,-0.002755,0.157184,1.799336,0.228132,0.179487,11.04185,44.35098,
121.5,0.005777,26.57574,0.457508,18.33548,-0.001598,-0.031072,-0.007683,0.36438,0.044972,0.161241,10.77268,42.17459,
