Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.32017,0.100741,26.70658,0.74032,20.16156,0.006701,0.010745,0.028968,0.459823,0.05249,0.105418,9.608198,
1.5,45.09952,1.705458,8.882168,6.980991,23.84227,0.111392,0.050088,0.427441,5.459354,0.988243,0.135855,7.040132,
3,44.43869,2.080111,2.551599,8.57795,24.53823,0.160247,0.055178,0.543482,8.75094,1.599291,0.059151,4.792672,
4.5,44.1496,1.938924,1.982301,8.453916,24.45534,0.141883,0.067697,0.542508,9.562089,1.658182,0.06397,4.856701,
6,43.96579,1.90573,2.051122,8.321134,24.29376,0.12529,0.062871,0.510425,9.619479,1.685085,0.098479,5.046762,
7.5,44.01547,1.871807,2.154912,8.255591,24.32074,0.122083,0.05435,0.484217,9.734925,1.673412,0.062472,5.116015,
9,43.97959,1.820979,2.287853,8.230862,24.18202,0.146951,0.057285,0.506252,9.786873,1.715844,0.078453,5.198517,
10.5,43.74967,1.800993,2.29104,8.077576,24.15219,0.147113,0.062006,0.481758,9.802091,1.668094,0.077664,5.149425,
12,44.0836,1.823588,2.382945,8.130664,24.26197,0.143623,0.078646,0.455722,9.921432,1.664973,0.110367,5.317176,
13.5,43.70695,1.767664,2.413569,8.050598,23.97285,0.125651,0.063688,0.451662,9.873253,1.69793,0.086443,5.311127,
15,43.77291,1.788867,2.466129,7.994937,24.03784,0.124914,0.074408,0.474663,9.897414,1.710755,0.081635,5.332946,
16.5,43.91439,1.808403,2.480688,8.081131,24.11152,0.153987,0.043211,0.435192,9.863763,1.699363,0.088161,5.382543,
18,43.64576,1.75592,2.517623,7.918242,23.95706,0.134445,0.060779,0.492336,9.861336,1.694178,0.08859,5.3764,
19.5,43.62375,1.75132,2.548496,7.938267,23.91431,0.126255,0.094296,0.473721,9.975734,1.693957,0.108257,5.351645,
21,43.60672,1.745743,2.592516,7.944318,23.93617,0.128585,0.058933,0.470859,9.837343,1.639099,0.083953,5.418114,
22.5,43.71978,1.735486,2.620933,7.896316,24.00628,0.140706,0.051347,0.458271,9.909426,1.645422,0.076893,5.454507,
24,43.87744,1.762636,2.60562,7.990335,24.04443,0.109918,0.069112,0.414489,9.971641,1.647242,0.078918,5.43679,
25.5,43.75423,1.789255,2.586442,7.938389,23.95389,0.145525,0.064255,0.442705,9.890506,1.667422,0.07576,5.435729,
27,43.62232,1.748154,2.605169,7.914053,23.9176,0.131096,0.065486,0.441946,9.902729,1.668564,0.093811,5.339612,
28.5,43.66172,1.729576,2.610961,7.922354,23.94705,0.135746,0.055385,0.443176,9.892465,1.640971,0.110515,5.405627,
30,43.76956,1.733095,2.625644,7.915535,23.99936,0.151275,0.059856,0.465693,9.874967,1.682107,0.059259,5.512717,
31.5,43.69152,1.721885,2.577378,7.926488,23.97623,0.136802,0.034856,0.484385,9.884151,1.687975,0.126104,5.373119,
33,43.91684,1.786574,2.565311,7.96677,24.07701,0.137987,0.072539,0.471138,9.928048,1.683901,0.107305,5.508184,
34.5,43.73357,1.707027,2.586513,7.880629,24.00865,0.136062,0.050304,0.422055,9.866281,1.734465,0.109832,5.459604,
36,43.75099,1.726574,2.532832,7.965843,24.03845,0.126765,0.051784,0.44283,9.890003,1.639861,0.107812,5.444153,
37.5,43.81458,1.782641,2.476596,8.036867,24.05213,0.1294,0.046001,0.441885,9.851747,1.661423,0.046874,5.451411,
39,43.76385,1.793528,2.489049,8.043602,23.99322,0.145437,0.087604,0.430833,9.846405,1.692363,0.066384,5.412094,
40.5,43.92329,1.777485,2.408839,8.069463,24.14842,0.152717,0.052719,0.441661,9.907367,1.717951,0.087147,5.354282,
42,43.90745,1.735397,2.361439,8.114037,24.1417,0.120762,0.060373,0.476694,9.911011,1.699233,0.109202,5.313593,
43.5,44.113,1.790187,2.292314,8.169889,24.29239,0.151863,0.063209,0.494818,9.854874,1.711801,0.086156,5.287808,
45,44.01933,1.854277,2.205177,8.180675,24.2863,0.142793,0.08328,0.526329,9.73175,1.656596,0.072256,5.174703,
46.5,43.96067,1.87128,2.055879,8.320559,24.29068,0.134755,0.074357,0.473904,9.695865,1.72758,0.082298,5.035631,
48,43.82593,1.929366,1.93721,8.353555,24.22226,0.153548,0.061733,0.502663,9.643368,1.772989,0.018793,4.959787,
49.5,42.29847,2.004712,2.014189,7.931231,23.34524,0.123185,0.063221,0.559533,9.31849,1.691341,0.074221,4.694877,
51,38.23317,1.637645,4.88376,6.136407,20.23123,0.101502,0.051558,0.585184,7.819609,1.538567,0.048215,4.900082,
52.5,43.33587,0.136163,25.81616,1.012605,19.07621,0.029255,-0.005359,0.103965,1.268025,0.243143,0.12895,9.793208,
54,42.81371,-0.050105,28.18888,0.291413,18.58404,0.00186,0.028684,-0.00869,0.321399,0.057336,0.111151,8.903092,
