Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
72,41.81543,2.104451,5.107025,6.820762,21.18145,0.207761,0.056474,0.634102,9.245437,1.251011,0.098675,8.831692,
73.5,41.73977,2.057011,4.981897,6.684779,21.22568,0.166874,0.073732,0.586701,9.405258,1.22626,0.123231,8.880395,
75,41.98528,2.132038,5.023427,6.725641,21.35677,0.180596,0.022,0.619031,9.202534,1.241554,0.134706,8.936433,
76.5,41.72686,2.0097,4.976852,6.68483,21.22321,0.189707,0.053295,0.589043,9.264495,1.178754,0.198658,8.772774,
78,41.73863,2.059814,5.069026,6.73863,21.17727,0.192523,0.05416,0.638649,9.270295,1.199639,0.088447,8.890073,
79.5,41.80925,2.010366,5.025048,6.695146,21.2215,0.165623,0.089842,0.62161,9.275203,1.219916,0.151911,8.863112,
81,41.88217,2.050697,5.000925,6.669199,21.32618,0.206741,0.020548,0.610801,9.240494,1.234787,0.130639,8.661508,
82.5,41.88622,2.140871,4.986129,6.741363,21.27479,0.189617,0.036689,0.587853,9.378476,1.209893,0.19029,8.79982,
84,41.9523,2.149117,4.972583,6.670736,21.32598,0.21621,0.041287,0.613949,9.303778,1.199031,0.196442,8.870667,
85.5,41.88984,2.075267,5.023911,6.776857,21.25437,0.199527,0.043028,0.607227,9.330312,1.16429,0.156012,8.742733,
87,41.73186,2.017313,4.986802,6.698847,21.22263,0.213647,0.050955,0.648384,9.352427,1.287369,0.201693,8.845011,
88.5,41.93713,2.177135,5.046952,6.796461,21.20765,0.19104,0.063955,0.595104,9.394286,1.191347,0.119998,8.905525,
90,41.85981,2.045706,4.991096,6.794631,21.25911,0.163494,0.075046,0.583522,9.314748,1.228304,0.170553,8.79122,
91.5,42.11982,2.086245,5.06978,6.844901,21.34261,0.19102,0.064122,0.642687,9.219928,1.270813,0.115483,8.803735,
93,41.85474,2.065454,5.037752,6.787504,21.24727,0.197953,0.058941,0.614098,9.317767,1.250028,0.169489,8.802709,
94.5,41.78981,2.101066,5.034567,6.789294,21.23829,0.182972,0.071478,0.605743,9.313585,1.157174,0.163408,8.800222,
96,41.80268,2.004885,5.048226,6.735496,21.2703,0.171568,0.053812,0.619517,9.192537,1.260428,0.157236,8.874551,
97.5,42.00082,2.077953,5.031516,6.758867,21.35821,0.183095,0.048385,0.647369,9.320058,1.263786,0.145475,8.900623,
99,41.95535,2.08759,5.009245,6.70287,21.26421,0.249365,0.062196,0.622683,9.240195,1.257639,0.184126,8.822443,
100.5,41.79066,2.076908,4.976985,6.746558,21.25036,0.178037,0.045176,0.637225,9.265676,1.258441,0.11988,8.834564,
102,41.67131,2.037737,4.966877,6.69372,21.18184,0.167387,0.025073,0.629379,9.265659,1.250192,0.143395,8.97881,
103.5,42.03185,2.123192,5.116868,6.735419,21.17503,0.198863,0.049226,0.645116,9.293654,1.305908,0.153763,8.920122,
105,41.71944,2.006592,5.023591,6.686808,21.24716,0.189218,0.058211,0.60428,9.335308,1.220655,0.1381,8.674622,
106.5,42.05577,2.024481,4.99936,6.80149,21.31354,0.211153,0.060414,0.644277,9.278643,1.24162,0.10537,8.939027,
108,42.15173,2.036929,5.06013,6.745217,21.41629,0.180585,0.046684,0.614388,9.328094,1.231134,0.217671,8.932375,
109.5,42.00438,2.08605,4.973999,6.837923,21.33854,0.153837,0.012966,0.617295,9.429037,1.199837,0.15799,8.874262,
111,41.87607,2.076482,4.914391,6.798104,21.27321,0.174432,0.040447,0.627793,9.288204,1.199006,0.12862,8.806967,
112.5,41.63372,2.112252,4.94799,6.641047,21.11549,0.214162,0.016983,0.599573,9.299862,1.24657,0.133675,8.871264,
114,41.88398,2.011152,5.040341,6.77189,21.29732,0.191362,0.042958,0.626058,9.344917,1.28264,0.148463,8.77494,
115.5,41.98563,2.034807,5.061181,6.722389,21.32518,0.190601,0.070259,0.626574,9.391304,1.237907,0.220407,8.820787,
117,41.90966,2.072967,5.046103,6.761011,21.28623,0.169662,0.050974,0.638767,9.331373,1.258411,0.110853,8.833816,
118.5,41.69293,2.045162,4.995144,6.75248,21.16179,0.188246,0.042849,0.652622,9.193327,1.210445,0.180062,8.68468,
120,41.75296,2.032743,4.941529,6.85354,21.23676,0.194424,0.06623,0.599134,9.366823,1.180767,0.11373,8.881142,
121.5,41.99167,2.107076,4.987014,6.719004,21.35584,0.239779,0.082498,0.617165,9.289391,1.234056,0.146823,8.918715,
123,41.84454,1.991487,4.950667,6.799078,21.25461,0.221113,0.03997,0.602989,9.317646,1.226568,0.173807,8.723119,
124.5,42.0224,2.110465,5.055117,6.694551,21.40251,0.173268,0.05744,0.583934,9.288316,1.134691,0.170602,8.862831,
126,42.06541,2.059276,5.081399,6.84647,21.25267,0.210857,0.024835,0.605623,9.284021,1.253155,0.134089,8.975228,
127.5,41.72367,2.067664,4.981095,6.688192,21.25792,0.170436,0.062396,0.61176,9.282396,1.244747,0.097768,8.831314,
129,42.06939,2.023358,5.0165,6.809527,21.41087,0.179778,0.04507,0.615073,9.303168,1.197458,0.157554,8.979362,
130.5,42.17668,2.039919,5.068511,6.735794,21.4496,0.19659,0.058089,0.610305,9.385594,1.20936,0.134511,9.030174,
132,42.05226,2.070454,5.068886,6.824485,21.25337,0.195667,0.035933,0.640331,9.263861,1.221205,0.152739,8.923608,
133.5,41.9963,2.167296,4.987868,6.769786,21.39557,0.200614,0.052515,0.607106,9.332356,1.2001,0.185879,8.772514,
135,42.03666,2.063405,5.060769,6.784208,21.33599,0.177695,0.057294,0.615067,9.382102,1.195917,0.166356,8.938884,
136.5,41.92496,2.061719,4.89538,6.748919,21.39473,0.195965,0.072699,0.586996,9.250767,1.177061,0.155538,8.880563,
138,41.97603,2.000073,4.95929,6.788875,21.33087,0.170024,0.066575,0.598739,9.373701,1.297877,0.099765,8.896628,
139.5,41.91541,2.027965,5.020514,6.723749,21.30731,0.200712,0.023045,0.615384,9.302523,1.238827,0.100139,8.800028,
141,41.93567,2.032363,5.036613,6.662447,21.32501,0.182497,0.060078,0.585535,9.416165,1.214461,0.12939,8.766789,
142.5,41.55563,2.020475,4.944594,6.675082,21.18508,0.176286,0.036749,0.627195,9.233513,1.231725,0.186056,8.7607,
144,42.00584,2.042652,5.055499,6.719842,21.39922,0.217588,0.035644,0.613902,9.18028,1.228027,0.131576,8.92425,
145.5,42.14241,2.136159,4.999059,6.72043,21.42502,0.178737,0.08577,0.608337,9.257748,1.216446,0.182403,8.946357,
147,41.95233,2.029327,5.044527,6.661879,21.41463,0.177619,0.020501,0.603492,9.2902,1.190278,0.152658,8.814149,
148.5,42.00041,2.048297,4.988806,6.791814,21.30001,0.193554,0.03997,0.664629,9.370248,1.257638,0.159226,8.825113,
150,42.09725,2.082393,5.122317,6.70881,21.38899,0.157545,0.032448,0.584781,9.337471,1.279621,0.218728,8.904503,
151.5,41.82037,2.04995,5.046864,6.646091,21.31185,0.202948,0.059339,0.577164,9.372178,1.176336,0.167595,8.939084,
153,42.11422,2.073271,5.016317,6.748734,21.48827,0.18411,0.031489,0.61473,9.344758,1.224204,0.163494,8.901485,
154.5,41.84865,2.037919,5.038579,6.675071,21.24807,0.195802,0.057005,0.625427,9.306504,1.239771,0.169684,8.866041,
156,41.96494,1.992942,5.007821,6.738457,21.33248,0.201751,0.071281,0.59644,9.426252,1.196679,0.080179,8.935917,
157.5,41.93988,2.046659,5.050499,6.710338,21.28415,0.192654,0.052651,0.609391,9.313529,1.201312,0.178081,8.951992,
