Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.066727,26.73209,0.208307,18.84155,-0.001009,-0.005098,0.016601,0.265975,0.010429,0.203052,12.49937,43.05851,
1,0.091086,25.67174,0.631169,19.02073,0.022305,0.026713,0.015683,0.441637,0.060562,0.162863,12.6659,43.15826,
2,1.056521,16.71448,3.93907,20.49043,0.08157,0.020456,0.195762,2.314594,0.60556,0.160061,12.16245,43.31777,
3,1.758446,7.313814,6.682461,21.81216,0.185172,0.068689,0.428122,6.015215,1.514943,0.134273,9.502253,42.84943,
4,1.840087,4.24341,7.344581,22.52433,0.255947,0.075856,0.484844,8.115608,1.938172,0.13617,8.935673,43.31179,
5,1.641325,3.294413,7.502499,22.5729,0.268887,0.079223,0.468921,9.1354,2.179901,0.115138,9.033385,43.3953,
6,1.565077,3.140239,7.453444,22.6164,0.25552,0.101377,0.439393,9.555157,2.187933,0.103916,9.040916,43.4193,
7,1.313851,3.138716,7.542642,22.72707,0.26479,0.113461,0.443105,9.715673,2.244173,0.183527,9.033862,43.71271,
8,1.219446,3.14432,7.548417,22.70751,0.270354,0.083536,0.442852,9.732214,2.23846,0.12702,9.190306,43.68848,
9,1.298752,3.092404,7.39786,22.45255,0.27206,0.08044,0.452524,9.633889,2.225873,0.133356,9.053146,43.16568,
10,1.568643,3.025846,7.346237,22.44308,0.258036,0.105956,0.449006,9.596534,2.236228,0.187927,8.879353,43.08784,
11,1.730795,3.207448,7.45981,22.42506,0.26307,0.081122,0.427124,9.219525,2.204519,0.140835,8.792299,43.2009,
12,1.822533,4.010952,7.339262,22.43605,0.256391,0.080443,0.507248,8.267972,2.077174,0.166749,8.734085,43.23072,
13,1.796213,6.703667,6.734096,22.11249,0.193752,0.040329,0.440069,6.338766,1.601036,0.128072,9.438595,42.97342,
14,1.361585,14.11316,4.902975,21.28132,0.134306,0.025132,0.280177,2.992316,0.779151,0.168462,11.42236,43.6812,
