Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.151764,26.28826,0.966977,19.05903,0.009446,0.00099,0.067937,0.829923,0.097527,0.137657,9.583758,43.25863,
1.5,1.663291,6.579119,6.142991,20.69477,0.084262,0.038513,0.470246,6.753806,1.316127,0.073507,5.666751,39.46807,
3,2.026215,2.260773,7.718,22.79567,0.123909,0.058705,0.554699,9.037623,1.708478,0.10062,4.734221,41.55275,
4.5,2.004433,1.692222,8.271315,23.91362,0.160649,0.073716,0.522788,9.628034,1.738514,0.051426,4.756807,43.27072,
6,1.966109,1.787104,8.368295,24.25441,0.134465,0.067736,0.534869,9.718348,1.721479,0.056355,4.943977,43.79773,
7.5,1.87893,1.885642,8.350081,24.51221,0.121745,0.07209,0.513067,9.873465,1.740214,0.05282,4.997983,44.14722,
9,1.879447,1.957334,8.34874,24.47491,0.118763,0.059275,0.507274,9.893886,1.777651,0.099507,5.129891,44.28108,
10.5,1.859201,2.06764,8.227839,24.23591,0.100755,0.072024,0.491406,9.936848,1.719457,0.119475,5.195739,43.87292,
12,1.820212,2.14116,8.240883,24.35038,0.110763,0.070002,0.485716,9.983942,1.700514,0.089764,5.204975,44.09262,
13.5,1.79584,2.221998,8.160386,24.23703,0.121462,0.062279,0.491866,9.945146,1.699148,0.085916,5.290047,43.97213,
15,1.799869,2.271252,8.194662,24.29262,0.131246,0.050573,0.48046,9.932918,1.651019,0.1265,5.355167,44.07777,
16.5,1.762383,2.299556,8.117021,24.17616,0.106411,0.077836,0.476527,9.899771,1.725726,0.078411,5.308422,43.92405,
18,1.732174,2.367815,8.085366,24.12847,0.117221,0.067879,0.450909,9.977583,1.700095,0.098153,5.334967,43.95206,
19.5,1.722447,2.390899,8.071806,24.12549,0.099902,0.067911,0.439971,9.965813,1.678559,0.093093,5.39265,43.87093,
21,1.768367,2.419832,8.027242,24.11324,0.097612,0.057972,0.449982,9.950744,1.663188,0.077134,5.430259,43.80484,
22.5,1.773263,2.444108,7.969341,24.15389,0.10175,0.051066,0.451106,10.00417,1.69372,0.096642,5.47416,43.85844,
24,1.672539,2.44962,7.972156,24.1033,0.098311,0.078805,0.443871,9.970109,1.669478,0.080158,5.492438,43.75714,
25.5,1.244182,2.468693,7.959743,24.16265,0.116193,0.058581,0.461281,10.03687,1.687727,0.060788,5.557329,43.74445,
27,0.952642,2.567909,8.042674,24.26101,0.134871,0.059604,0.460225,10.05887,1.706989,0.076699,5.584385,43.94976,
28.5,1.19742,2.542008,7.997976,24.12932,0.089695,0.08651,0.458417,10.00491,1.701776,0.110589,5.516675,43.74023,
30,1.661942,2.505332,7.986331,24.1326,0.115595,0.054675,0.438644,9.97324,1.659531,0.102138,5.520206,43.82495,
31.5,1.733825,2.568479,7.997421,24.07413,0.120967,0.079522,0.423498,9.974549,1.666451,0.104745,5.566215,43.86507,
33,1.745308,2.618971,7.882954,23.98996,0.114335,0.082423,0.447637,9.908892,1.710124,0.077615,5.511636,43.69243,
34.5,1.727397,2.628486,7.957852,24.1154,0.108027,0.060488,0.447196,9.884116,1.697514,0.111767,5.536431,43.92778,
36,1.735831,2.569945,7.936659,24.08331,0.111302,0.060737,0.457233,10.0012,1.741185,0.100621,5.500508,43.86811,
37.5,1.727598,2.581987,7.888593,23.9642,0.128306,0.081238,0.439772,9.923487,1.671953,0.095826,5.485065,43.64632,
39,1.74077,2.593817,7.98957,24.01218,0.102951,0.073565,0.473009,9.937817,1.676495,0.063052,5.452323,43.73479,
40.5,1.740244,2.61626,7.97819,24.0475,0.133893,0.057821,0.436196,9.948515,1.654469,0.046377,5.475809,43.8792,
42,1.757599,2.636208,7.922898,23.9338,0.087452,0.047082,0.45698,9.925756,1.681899,0.072829,5.40896,43.63321,
43.5,1.717285,2.671457,7.929645,24.03969,0.123026,0.040207,0.441668,9.915681,1.679793,0.100106,5.429727,43.83167,
45,1.709094,2.604585,7.929704,23.84083,0.108138,0.059633,0.443725,9.96965,1.679029,0.053573,5.449995,43.57507,
46.5,1.700894,2.59485,7.938535,23.93914,0.104597,0.06195,0.414053,9.931058,1.647059,0.089016,5.361319,43.58747,
48,1.698799,2.566673,7.841142,23.88986,0.142988,0.052191,0.445279,9.931505,1.682479,0.093592,5.252758,43.42932,
49.5,1.713975,2.608742,7.933205,23.90164,0.128598,0.062256,0.416706,9.959967,1.685068,0.122711,5.102336,43.56504,
51,1.780597,2.554342,7.921976,23.77702,0.14452,0.075565,0.44926,9.838161,1.6687,0.094998,4.87955,43.32597,
52.5,1.810345,2.366739,7.54255,22.67365,0.094595,0.08387,0.502338,9.008377,1.685484,0.0714,3.915615,41.15531,
54,0.378796,0.77162,2.967139,8.736599,-0.001709,0.0633,0.427926,5.40722,1.129329,0.075012,2.587304,18.12142,
55.5,0.238766,0.548701,1.846796,5.837741,0.055128,0.038353,0.36817,4.66057,0.953166,0.061906,2.79584,12.56643,
57,0.241115,0.436909,0.935892,2.121707,0.039349,0.009519,0.158971,3.697866,0.701896,0.064239,3.397275,6.877705,
