Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.456605,21.97613,2.296921,19.79659,0.056929,0.016105,0.137681,1.996408,0.293732,0.190121,12.3892,43.98878,
1,1.896705,5.884539,7.131199,21.84778,0.237059,0.067646,0.469211,7.580852,1.280395,0.125785,8.592979,42.61716,
2,1.884842,3.585814,7.530935,22.55917,0.246539,0.074981,0.43753,9.318268,1.457176,0.123736,8.861854,43.19528,
3,1.798837,3.17585,7.486538,22.66897,0.288781,0.080133,0.411281,9.687745,1.449418,0.154045,9.158435,43.2887,
4,1.790006,3.2963,7.388347,22.64158,0.27147,0.063983,0.390779,9.698519,1.405016,0.200364,9.326701,43.21346,
5,1.731201,3.423648,7.283011,22.54777,0.273694,0.071296,0.386396,9.706717,1.335454,0.203881,9.327527,43.0769,
6,1.69637,3.496042,7.296082,22.529,0.268556,0.05128,0.379705,9.651838,1.341987,0.177663,9.472534,43.1027,
7,1.715572,3.548296,7.226877,22.56654,0.23813,0.049386,0.370592,9.675464,1.352949,0.170124,9.504974,43.058,
8,1.657813,3.582231,7.205501,22.51895,0.257898,0.079665,0.396634,9.666817,1.365859,0.142787,9.486959,42.95198,
9,1.683155,3.54363,7.259296,22.55523,0.252364,0.070176,0.36638,9.713464,1.395821,0.171446,9.496314,43.16322,
10,1.666683,3.446947,7.279507,22.5422,0.248282,0.050844,0.404518,9.66303,1.350972,0.1572,9.341244,43.0488,
11,1.710192,3.387868,7.291741,22.51686,0.28118,0.088057,0.370142,9.734728,1.358979,0.158872,9.349108,43.06183,
12,1.616121,3.358548,7.39247,22.53728,0.270421,0.045007,0.348941,9.715462,1.336313,0.183854,9.417115,43.05438,
13,1.575002,3.169571,7.379539,22.63929,0.259756,0.067791,0.414564,9.715559,1.377839,0.130254,9.253751,42.98748,
14,1.719209,3.345159,7.32829,22.34769,0.259985,0.078067,0.411234,9.53932,1.409993,0.157254,8.990153,42.66985,
15,1.773371,4.917355,6.731249,21.20839,0.240377,0.072401,0.437968,8.28943,1.352186,0.115942,8.666691,41.20466,
16,0.605027,18.68897,2.954195,19.61087,0.095334,0.018424,0.240196,3.128901,0.506216,0.159932,11.96101,42.79441,
