Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.215751,24.43225,1.396934,19.22631,0.008977,0.030124,0.032885,0.06687,1.742267,0.277152,0.172293,10.00223,43.23848,
1,1.364309,6.552632,5.635229,19.62539,0.113705,0.089061,0.031618,0.400084,7.994316,1.396671,0.050946,5.928711,38.43825,
2,1.615995,2.818877,7.134067,21.59082,0.153582,0.135475,0.028722,0.436952,9.811802,1.656654,0.052256,5.010203,40.43031,
3,1.460035,1.648036,7.905725,22.74391,0.143153,0.149918,0.022623,0.443246,10.35505,1.727537,0.082411,5.102077,41.87596,
4,0.828931,1.499111,8.471144,23.85596,0.192374,0.169941,0.029791,0.479099,10.68643,1.802546,0.134663,5.146712,43.69183,
5,0.341162,1.511752,8.838626,24.57851,0.195428,0.136474,0.086425,0.460339,10.81812,1.775316,0.095975,5.319496,44.68002,
6,0.177814,1.550247,8.84464,24.85232,0.167609,0.167511,0.028268,0.400555,10.83073,1.779574,0.079936,5.432569,45.03515,
7,0.157725,1.535082,8.855031,24.79305,0.184251,0.181856,0.040346,0.43715,10.79928,1.781445,0.087113,5.263832,44.9361,
8,0.495357,1.577936,8.835678,24.65424,0.197957,0.147207,0.055939,0.430256,10.80712,1.737532,0.065406,5.255019,44.83878,
9,1.085593,1.580286,8.715016,24.29428,0.179751,0.170322,0.049292,0.457764,10.75289,1.762544,0.032677,5.188808,44.40717,
10,1.724077,1.579283,8.741916,24.20921,0.194512,0.148732,0.049556,0.435472,10.49437,1.72794,0.054877,5.178921,44.51695,
11,1.779268,1.622932,8.746344,24.04948,0.188729,0.154093,0.045997,0.441925,10.50929,1.72182,0.0816,5.192962,44.40359,
12,1.796547,1.636804,8.679815,24.1164,0.182966,0.172631,0.058782,0.43558,10.46746,1.69613,0.067904,5.042109,44.43632,
13,1.881434,1.727786,8.744995,24.31542,0.171209,0.152491,0.07035,0.467908,10.38117,1.746392,0.089266,5.051682,44.77993,
14,1.81985,2.597409,8.753033,24.44419,0.148988,0.165454,0.042731,0.492812,10.19938,1.729998,0.071215,4.922805,45.34863,
15,1.210601,9.930705,7.288507,24.19785,0.119566,0.136323,0.038171,0.381763,7.971872,1.294881,0.074968,7.296939,47.72598,
