Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,46.95694,0.604834,22.67639,2.753547,22.05366,0.028331,-0.004468,0.160036,1.611089,0.442662,0.193168,10.85969,
1.5,44.08019,2.104669,3.919317,8.082368,23.90113,0.084504,0.026877,0.829396,7.719911,1.901386,0.113315,5.523386,
3,43.95945,2.169532,2.45659,8.122473,23.97004,0.140295,0.083929,0.762125,8.822738,2.153527,0.098458,5.49889,
4.5,43.58432,1.988274,2.586378,7.903042,23.70254,0.105914,0.029069,0.703801,9.097587,2.154807,0.173709,5.903068,
6,43.74946,1.958813,2.840255,7.692897,23.66444,0.144325,0.045314,0.634924,9.217272,2.1074,0.121743,6.260968,
7.5,43.70175,1.793974,3.000777,7.619782,23.57004,0.128357,0.028878,0.637162,9.290773,2.181562,0.170546,6.381423,
9,43.67179,1.793357,3.078202,7.520786,23.56828,0.142871,0.031067,0.561722,9.274632,2.16753,0.16175,6.416847,
10.5,43.63967,1.756011,3.197922,7.385771,23.57091,0.14991,0.021098,0.558365,9.306293,2.141282,0.134491,6.601807,
12,43.56838,1.786767,3.29251,7.384163,23.42638,0.144336,0.031394,0.593123,9.31496,2.131675,0.104232,6.557946,
13.5,43.32082,1.756789,3.262569,7.325289,23.25681,0.146791,0.011264,0.609443,9.331738,2.112134,0.117301,6.512634,
15,43.48419,1.730254,3.338966,7.333932,23.40479,0.135583,0.05435,0.587236,9.401398,2.039377,0.123874,6.661584,
16.5,43.56835,1.68331,3.355616,7.332102,23.47421,0.100255,0.051617,0.606962,9.31951,2.121909,0.115766,6.644753,
18,43.47071,1.701287,3.285843,7.321769,23.42876,0.129917,0.002932,0.591142,9.335199,2.083265,0.14561,6.668561,
19.5,43.62077,1.760769,3.350367,7.392862,23.46052,0.10811,0.051705,0.615554,9.379225,2.089113,0.136633,6.658445,
21,43.49457,1.659474,3.323319,7.351033,23.43211,0.115778,0.033776,0.574335,9.344522,2.156721,0.111216,6.680146,
22.5,43.46851,1.744932,3.275402,7.397018,23.3232,0.116121,0.03184,0.566635,9.304446,2.166778,0.085318,6.662565,
24,43.37118,1.734319,3.146553,7.390899,23.43539,0.115944,0.048403,0.645661,9.302285,2.107884,0.086036,6.562143,
25.5,43.56751,1.788391,3.1164,7.467507,23.49827,0.127165,0.053768,0.620565,9.228016,2.135964,0.080624,6.633597,
27,43.62103,1.777439,3.08826,7.642616,23.42164,0.14891,0.002327,0.636098,9.256021,2.125126,0.106837,6.342049,
28.5,43.81566,1.843243,2.921743,7.69176,23.68805,0.164196,0.02319,0.667103,9.208627,2.105754,0.168787,6.203467,
30,43.75712,1.92219,2.826377,7.886278,23.6516,0.144466,0.039346,0.639546,9.113358,2.129156,0.085904,6.26255,
31.5,43.95892,1.966524,2.637749,7.914042,23.93322,0.108161,0.020019,0.725578,9.038583,2.142646,0.106822,5.915161,
33,44.11886,2.114694,2.333795,8.234078,24.11018,0.147728,0.04502,0.803358,8.912783,2.108632,0.100984,5.475193,
34.5,42.60447,2.221916,2.484335,7.985486,23.2462,0.125466,0.03237,0.833172,8.377071,1.975398,0.068019,5.00264,
36,41.80629,1.153679,12.3793,4.785053,20.41275,0.08036,0.039113,0.695222,5.3305,1.435609,0.119065,7.92547,
