Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.062582,27.68517,0.252784,18.53661,0.002378,-0.002491,0.360567,0.057012,0.173896,10.24544,42.84718,
1.5,0.062593,26.44947,0.585954,18.59837,0.006492,0.02387,0.511019,0.045494,0.139946,10.6153,42.57216,
3,1.281371,11.92169,4.891121,19.06896,0.103839,0.384914,4.339396,0.780984,0.153426,10.14469,39.9219,
4.5,1.795363,3.792465,6.981618,20.87908,0.184886,0.513925,8.942595,1.571598,0.156642,7.64369,40.46783,
6,1.652208,3.157453,7.325227,21.94098,0.176711,0.471013,10.0658,1.687235,0.122627,7.89604,42.12077,
7.5,1.530919,3.448369,7.266348,22.23217,0.203217,0.437742,10.15517,1.684316,0.139415,8.448582,42.6903,
9.00000000000001,1.517234,3.670761,7.016737,22.08555,0.181135,0.421,10.22282,1.628056,0.168076,8.541208,42.50901,
10.5,1.459909,3.886529,6.924384,22.1799,0.176222,0.388524,10.19976,1.622816,0.140018,8.715617,42.58868,
12,1.40609,3.996599,6.828593,22.07947,0.192732,0.383259,10.14862,1.580176,0.139749,8.75894,42.44685,
13.5,1.470767,4.04692,6.800228,22.08536,0.191394,0.367562,10.20687,1.615055,0.176786,8.747287,42.54463,
15,1.420821,4.097542,6.798977,22.04694,0.192819,0.395299,10.12286,1.587753,0.13257,8.931108,42.45786,
16.5,1.393829,4.184255,6.721868,22.08051,0.181162,0.390776,10.15734,1.616064,0.136867,8.797327,42.49276,
18,1.426419,4.284146,6.771483,21.92283,0.187989,0.361489,10.06613,1.587701,0.123312,8.84938,42.44548,
19.5,1.463508,4.241227,6.823407,21.92229,0.18687,0.385399,10.02682,1.589669,0.156223,8.874557,42.43689,
21,1.444638,4.229263,6.813763,21.93843,0.17486,0.379169,10.00397,1.618602,0.157602,8.68316,42.31388,
22.5,1.495136,4.283218,6.824691,22.07692,0.194975,0.376426,10.01566,1.539047,0.112818,8.736809,42.59978,
24,1.460595,4.269792,6.830582,22.06607,0.188359,0.393626,10.00774,1.579303,0.142631,8.744982,42.57389,
25.5,1.450135,4.266292,6.819849,22.06288,0.174007,0.381471,10.02649,1.577426,0.138584,8.78727,42.57421,
27,1.415759,4.27612,6.798414,22.05313,0.185157,0.380332,10.05505,1.596039,0.120045,8.75447,42.53239,
28.5,1.467021,4.237467,6.821909,22.08794,0.182216,0.394314,10.0802,1.576161,0.159104,8.862325,42.64691,
30,1.408124,4.224808,6.831066,22.08056,0.193696,0.401666,10.04282,1.566744,0.119199,8.689448,42.54673,
31.5,1.463697,4.179043,6.793593,21.9742,0.177449,0.369152,10.08966,1.620995,0.156882,8.725551,42.41188,
33,1.47217,4.150937,6.841653,22.12294,0.179809,0.38973,10.13574,1.548669,0.111787,8.720331,42.54303,
34.5,1.404732,4.011147,6.914029,22.18045,0.174576,0.37496,10.15331,1.620797,0.146135,8.699965,42.64058,
36,1.460902,3.937607,6.972036,22.18306,0.189564,0.401657,10.17274,1.666055,0.127353,8.661051,42.70891,
37.5,1.501328,3.854473,6.98827,22.05195,0.208185,0.37864,10.19915,1.621782,0.101226,8.644358,42.56306,
39,1.546907,3.63209,7.068005,22.24361,0.212452,0.411714,10.23597,1.625341,0.150481,8.487413,42.71899,
40.5,1.620638,3.338515,7.298741,22.26204,0.19712,0.446852,10.08229,1.721663,0.143316,8.239112,42.69191,
42,1.738234,3.092053,7.539233,22.47896,0.215696,0.500756,9.94173,1.695166,0.128141,7.611694,42.76693,
43.5,1.823864,5.081521,7.508117,22.49879,0.149974,0.52613,8.129897,1.427427,0.148678,7.586732,43.14471,
