Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.002244,26.9607,0.351472,18.59793,-0.013792,-0.001547,0.385163,0.039913,0.135448,9.809183,42.37647,
1.5,1.184185,14.20457,4.3503,20.23239,0.086192,0.150235,3.495305,0.554777,0.13045,10.20906,41.6463,
3,1.882172,3.742246,6.909704,22.74768,0.139713,0.328048,8.772721,1.414017,0.09056,7.472298,42.10596,
4.5,1.491902,2.283953,7.24726,23.35938,0.178189,0.317137,10.22701,1.629544,0.118082,7.272714,42.7492,
6,1.001302,2.382739,7.141416,23.49415,0.189665,0.302772,10.65909,1.616763,0.126328,7.728879,42.94859,
7.5,1.086466,2.474204,7.022522,23.44554,0.162982,0.308067,10.69743,1.671822,0.1339,7.841979,42.95105,
9,1.495792,2.547021,6.916162,23.2168,0.158417,0.319916,10.6219,1.623211,0.126356,7.845778,42.80163,
10.5,1.7514,2.589149,6.934509,23.30633,0.171787,0.280056,10.5548,1.624555,0.155602,7.741002,42.9544,
12,1.728411,2.647119,6.934141,23.50825,0.165998,0.298535,10.57586,1.637691,0.099434,7.740217,43.22884,
13.5,1.75531,2.565893,6.957138,23.45638,0.147206,0.319642,10.52111,1.647166,0.10683,7.652532,43.06597,
15,1.802249,2.464635,7.003964,23.30411,0.166777,0.337988,10.42842,1.635041,0.123305,7.573909,42.89237,
16.5,1.86855,2.38619,7.108498,23.37795,0.183162,0.324557,10.35752,1.619497,0.115004,7.411289,42.97486,
18,1.888866,2.540781,7.126334,23.4485,0.181212,0.332337,9.798835,1.599464,0.111095,7.239737,42.87127,
19.5,1.782757,5.637611,6.559755,22.97502,0.114266,0.287647,7.326628,1.201069,0.118831,8.017205,42.70055,
21,0.425046,22.60294,1.829601,20.72415,0.026527,0.046005,1.238078,0.155995,0.176803,11.59449,44.37059,
