Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.036979,27.87507,0.31684,19.5167,-0.004435,0.004091,0.021655,0.292573,0.043053,0.117435,8.755813,43.63743,
1.5,0.415456,24.1546,2.274475,22.28068,0.040451,0.009327,0.089931,1.336266,0.244933,0.127312,10.51297,47.35676,
3,1.780286,4.77348,8.236502,23.92691,0.136961,0.048724,0.483528,7.541222,1.592169,0.086597,5.376009,44.36307,
4.5,1.907437,2.04953,8.775965,24.32828,0.155184,0.055652,0.512177,9.185421,1.897467,0.044832,4.573371,44.22199,
6,1.834479,1.953566,8.65315,24.10621,0.160095,0.052514,0.448804,9.554235,1.958159,0.064373,4.800261,44.01276,
7.5,1.773187,2.110064,8.550015,24.1301,0.148284,0.040046,0.44398,9.589963,1.925797,0.072235,5.018529,44.06754,
9,1.740028,2.151408,8.43834,24.0781,0.132601,0.02745,0.445555,9.691699,1.922831,0.058977,5.076009,44.03148,
10.5,1.740592,2.227212,8.368282,24.05726,0.146795,0.045112,0.447268,9.744077,1.907925,0.109459,5.203867,44.00086,
12,1.742641,2.311527,8.450122,24.0507,0.162299,0.044615,0.426787,9.738475,1.892748,0.07957,5.172077,44.13353,
13.5,1.684185,2.331919,8.301826,23.92263,0.11587,0.032137,0.433512,9.737028,1.918038,0.07844,5.283006,43.83096,
15,1.624329,2.425892,8.326192,23.98003,0.144758,0.055238,0.380999,9.713366,1.953748,0.109548,5.249726,44.01143,
16.5,1.686872,2.423736,8.346892,23.91229,0.141718,0.029229,0.415698,9.778,1.927957,0.061087,5.243211,43.99266,
18,1.658198,2.479075,8.323279,23.92976,0.11001,0.051804,0.393486,9.740352,1.863224,0.070616,5.356317,43.9683,
19.5,1.677973,2.437663,8.281996,23.86942,0.133298,0.063845,0.371122,9.811296,1.901954,0.083208,5.423661,43.88133,
21,1.619607,2.489446,8.275486,23.94879,0.135714,0.066543,0.391886,9.793821,1.896118,0.092623,5.341912,44.00563,
22.5,1.625559,2.509379,8.26225,23.94261,0.143737,0.060644,0.417332,9.836938,1.890406,0.08521,5.40821,44.03557,
24,1.667907,2.547621,8.292734,23.92468,0.128556,0.041824,0.414125,9.840864,1.908225,0.096475,5.412937,44.15703,
25.5,1.654477,2.545184,8.258348,23.91942,0.149106,0.050449,0.392232,9.810619,1.948973,0.090262,5.377884,44.01609,
27,1.602953,2.559358,8.248644,23.80226,0.15838,0.064502,0.384295,9.797644,1.909227,0.093822,5.450069,43.87877,
28.5,1.718292,2.555029,8.332094,23.96531,0.128048,0.05927,0.388276,9.820924,1.915009,0.106795,5.439795,44.17908,
30,1.686066,2.574483,8.241084,23.89184,0.125978,0.050508,0.383737,9.733714,1.917704,0.066168,5.295981,43.9078,
31.5,1.633696,2.561329,8.244314,23.92869,0.144106,0.056528,0.349538,9.888781,1.88826,0.112273,5.391315,44.09355,
33,1.653438,2.49281,8.249461,23.82014,0.134914,0.045132,0.411548,9.869739,1.905231,0.075898,5.314156,43.87781,
34.5,1.57499,2.542631,8.323473,23.84439,0.147428,0.049923,0.389207,9.868911,1.887726,0.072822,5.39623,43.9598,
36,1.707049,2.487693,8.324001,23.94922,0.114722,0.055274,0.390514,9.811025,1.902671,0.094169,5.313327,44.00269,
37.5,1.635489,2.474628,8.33578,23.9648,0.130556,0.047252,0.399473,9.735529,1.903366,0.120815,5.360022,44.05122,
39,1.715082,2.466631,8.340561,23.98392,0.130618,0.052722,0.417008,9.820678,1.951223,0.102018,5.384501,44.14528,
40.5,1.676167,2.411923,8.335519,24.03339,0.16712,0.076592,0.405275,9.764968,1.888217,0.07098,5.336519,44.13512,
42,1.663741,2.425391,8.367423,23.98049,0.160484,0.057669,0.38757,9.802571,1.954303,0.104717,5.354033,44.15623,
43.5,1.652717,2.305291,8.419073,23.94818,0.139835,0.077179,0.400845,9.705947,1.907813,0.071502,5.262593,43.96775,
45,1.726565,2.342879,8.431378,24.00237,0.139921,0.053642,0.410071,9.769652,1.912949,0.069277,5.284949,44.11292,
46.5,1.790563,2.21008,8.505009,23.95595,0.143775,0.068734,0.440688,9.732279,1.886543,0.068603,5.228195,44.00033,
48,1.787406,2.121275,8.561071,24.17684,0.105182,0.047462,0.426655,9.714343,1.917955,0.094919,5.057301,44.11413,
49.5,1.803235,2.102919,8.716393,24.34606,0.164864,0.048243,0.432852,9.672722,1.956469,0.102149,5.068603,44.62686,
51,1.855425,1.924514,8.727251,24.18226,0.16757,0.042162,0.469781,9.611058,1.942843,0.087959,4.926197,44.22693,
52.5,1.881295,1.886811,8.523527,23.53527,0.15468,0.048496,0.46166,9.339004,1.90848,0.062036,4.728143,43.12137,
54,1.788915,3.90947,7.429265,21.70458,0.113349,0.047761,0.479693,7.921565,1.715211,0.087538,5.130549,40.71151,
55.5,0.401956,23.49653,2.013168,19.44807,0.028232,0.008745,0.095824,1.520204,0.269756,0.130834,10.05685,43.36911,
57,-0.030223,28.29255,0.351787,18.76671,0.020812,0.02392,0.00543,0.28915,0.019022,0.094825,8.678843,43.0983,
58.5,-0.002273,28.43351,0.264226,18.61736,-0.000739,-0.015561,-0.00896,0.236451,0.023855,0.108536,8.50969,42.87056,
