Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,44.60119,1.887397,4.195529,7.744574,23.53559,0.215435,0.059497,0.419974,9.581223,1.238841,0.146663,7.899758,
1.5,44.15686,1.777748,4.214083,7.614677,23.35982,0.165671,0.037955,0.373766,9.570286,1.195815,0.150361,7.9293,
3,44.07199,1.773142,4.233248,7.592612,23.22228,0.168482,0.03865,0.410639,9.562795,1.242612,0.128326,8.003515,
4.5,43.77131,1.755883,4.22662,7.571932,23.0854,0.198495,0.048811,0.365033,9.448112,1.186727,0.143696,7.921549,
6,44.00428,1.710089,4.240602,7.553185,23.24883,0.192066,0.027931,0.402462,9.424175,1.265857,0.14333,7.919731,
7.5,43.88359,1.705679,4.294265,7.602406,23.2228,0.162342,0.041686,0.387726,9.336565,1.215028,0.140554,7.870152,
9,43.64844,1.759179,4.181279,7.617214,23.11442,0.182909,0.049399,0.398732,9.3699,1.209562,0.096041,7.767379,
10.5,43.77233,1.749403,4.232993,7.55733,23.12068,0.184978,0.06262,0.399596,9.402133,1.217309,0.110897,7.797678,
12,43.70583,1.76151,4.29266,7.550559,23.0636,0.186941,0.04568,0.391961,9.326328,1.220176,0.146393,7.772629,
13.5,43.6721,1.790042,4.268237,7.605332,22.98862,0.20961,0.035252,0.360645,9.334929,1.249327,0.129414,7.841999,
15,43.72534,1.83273,4.299393,7.587755,23.0512,0.18806,0.030248,0.398822,9.404896,1.225833,0.098779,7.730992,
16.5,43.42533,1.781787,4.218828,7.500255,22.86666,0.226828,0.04097,0.39032,9.243248,1.221594,0.112434,7.756767,
18,43.01654,1.737986,4.271027,7.428845,22.64027,0.207078,0.051598,0.395419,9.211752,1.190062,0.102904,7.702013,
19.5,43.28152,1.814739,4.254402,7.509364,22.71025,0.257398,0.05376,0.384352,9.160132,1.197507,0.124273,7.687151,
21,43.2653,1.772693,4.239338,7.463026,22.80539,0.244761,0.046979,0.378484,9.2002,1.162184,0.141832,7.673475,
22.5,43.45757,1.808334,4.27665,7.551684,22.90988,0.195144,0.054203,0.412405,9.327718,1.195905,0.118854,7.75838,
24,43.59019,1.780653,4.263691,7.48007,23.04718,0.196268,0.03956,0.397426,9.347666,1.204235,0.120375,7.759933,
25.5,43.60094,1.786345,4.252031,7.568686,22.94933,0.190507,0.049015,0.402325,9.348568,1.236812,0.127348,7.802747,
27,43.42745,1.730405,4.252498,7.478868,22.93889,0.191319,0.060494,0.413359,9.31081,1.230567,0.133219,7.772073,
28.5,43.56566,1.740939,4.318534,7.524683,22.96071,0.196359,0.034808,0.400667,9.327025,1.193887,0.125534,7.870124,
30,43.57524,1.73766,4.252568,7.554568,22.96895,0.177362,0.056627,0.400533,9.325183,1.20633,0.135483,7.80171,
31.5,43.44468,1.789506,4.250534,7.473373,22.94768,0.173166,0.054429,0.412065,9.3443,1.206859,0.094758,7.892875,
33,43.56746,1.753875,4.218124,7.52138,22.93531,0.176901,0.06532,0.404685,9.432906,1.263718,0.109311,7.959137,
34.5,43.50296,1.729434,4.211047,7.514238,22.92638,0.18392,0.04266,0.398858,9.385816,1.232389,0.142366,8.019693,
36,43.38954,1.733088,4.118733,7.520241,22.88838,0.169155,0.054428,0.363431,9.396946,1.225778,0.103482,7.893912,
37.5,43.6894,1.731788,4.184423,7.522033,23.01084,0.215366,0.051998,0.38849,9.428394,1.197231,0.103452,7.963417,
39,43.46461,1.803098,4.169664,7.505228,22.87771,0.179361,0.050815,0.377075,9.465397,1.248838,0.133265,7.939518,
40.5,43.70958,1.742055,4.154685,7.572024,23.02284,0.179392,0.037388,0.37471,9.481821,1.266053,0.12122,7.979749,
42,43.44368,1.720424,4.039747,7.495305,22.89822,0.206033,0.025389,0.385348,9.550529,1.205779,0.075608,7.922521,
43.5,43.46116,1.722622,4.013412,7.441784,22.9597,0.210148,0.044627,0.389832,9.532329,1.195886,0.136847,7.921206,
45,43.47315,1.708614,4.032657,7.448178,22.86803,0.227083,0.047636,0.442254,9.58049,1.218305,0.111318,8.059316,
46.5,43.38847,1.697666,3.954776,7.522281,22.96484,0.183622,0.040412,0.362419,9.597418,1.219756,0.092591,7.92827,
48,43.38683,1.771221,3.870579,7.535979,22.83731,0.195407,0.037802,0.38154,9.646613,1.207223,0.123435,7.985765,
49.5,43.43425,1.709569,3.813275,7.506021,22.94332,0.186129,0.033233,0.400971,9.718032,1.229622,0.158715,7.967076,
51,43.45442,1.780972,3.672299,7.582636,22.92107,0.208246,0.044804,0.378617,9.754201,1.26939,0.13749,7.934488,
52.5,43.4604,1.848313,3.456084,7.695099,23.02004,0.178235,0.025908,0.408438,9.728705,1.316683,0.177276,7.810799,
54,43.47142,1.910614,3.241462,7.876785,23.09765,0.199558,0.040873,0.426169,9.721985,1.302732,0.120401,7.54718,
55.5,44.19781,1.9706,4.425633,8.062549,23.31075,0.188924,0.051973,0.498019,8.908818,1.255065,0.094721,6.958872,
57,47.68872,0.423041,22.57025,3.182366,22.088,0.068737,0.011488,0.158231,2.735992,0.386562,0.174354,10.76208,
58.5,43.8457,0.016519,27.00918,0.471576,19.32434,0.001282,0.011356,0.031972,0.479375,0.025748,0.167091,11.52832,
