Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,1.384225,11.25233,6.279728,22.41236,0.156554,0.048498,0.421669,5.864157,0.913608,0.123923,9.519143,45.12344,
1,1.807006,4.409908,7.452796,22.60171,0.199169,0.072519,0.448474,8.931553,1.362545,0.130126,8.399076,43.31786,
2,1.759845,3.522869,7.399741,22.47383,0.217623,0.073455,0.431919,9.460434,1.37928,0.201063,8.800653,42.93662,
3,1.710464,3.503415,7.268641,22.33497,0.200959,0.075822,0.430699,9.533447,1.364455,0.14042,8.884505,42.63169,
4,1.714334,3.715922,7.215957,22.28983,0.216,0.049359,0.40021,9.415524,1.289467,0.128585,8.847664,42.57582,
5,1.727364,3.794079,7.23526,22.30324,0.193512,0.064985,0.385429,9.384352,1.293785,0.13684,8.984126,42.58397,
6,1.587759,3.898446,7.197539,22.28731,0.187298,0.058413,0.386927,9.303735,1.267181,0.147411,8.978082,42.50748,
7,1.58319,3.994009,7.159873,22.28718,0.19964,0.059111,0.392621,9.376879,1.270311,0.155392,8.995357,42.60971,
8,1.531014,3.942484,7.201666,22.24662,0.197908,0.044683,0.413189,9.256712,1.283605,0.166986,9.045627,42.55899,
9,1.310574,3.914844,7.185333,22.30908,0.173139,0.051631,0.414422,9.262009,1.269736,0.113154,9.095861,42.49361,
10,1.292787,4.034674,7.236626,22.4202,0.174989,0.07613,0.40323,9.269204,1.294204,0.176326,9.087684,42.70075,
11,1.333078,4.041471,7.230494,22.46851,0.1822,0.069976,0.396149,9.295423,1.303954,0.120426,8.998599,42.76707,
12,1.511605,4.011269,7.188138,22.3671,0.191687,0.039022,0.389172,9.217515,1.333742,0.130162,8.963205,42.75282,
13,1.543625,4.089596,7.182465,22.34513,0.238525,0.063354,0.400616,9.299813,1.299643,0.132063,9.020589,42.85343,
14,1.598981,4.038361,7.189648,22.34737,0.196747,0.047897,0.401378,9.292726,1.309964,0.152759,8.99229,42.64351,
15,1.528628,4.021538,7.212096,22.36374,0.205302,0.051276,0.402319,9.317393,1.293866,0.113518,8.984793,42.75753,
16,1.633752,3.920743,7.234462,22.31788,0.209513,0.064452,0.386126,9.295496,1.321685,0.180663,9.011438,42.7644,
17,1.605855,3.907569,7.208017,22.30823,0.219828,0.033815,0.437012,9.321526,1.248509,0.167445,9.004189,42.62272,
18,1.646181,3.770462,7.264345,22.35663,0.226334,0.065028,0.425782,9.414527,1.287538,0.179494,8.931675,42.76005,
19,1.617509,3.727906,7.158849,22.42191,0.21408,0.077801,0.38218,9.442371,1.343298,0.116957,8.889391,42.62284,
20,1.690435,3.601959,7.193209,22.16443,0.189938,0.061497,0.419893,9.462984,1.31887,0.128865,8.913564,42.3576,
21,1.680149,3.461962,7.186677,22.00915,0.22804,0.051329,0.389878,9.405437,1.335633,0.134071,8.838795,42.09166,
22,1.76084,3.498686,6.852741,21.36457,0.216401,0.063666,0.423584,9.280549,1.361272,0.140451,8.667061,40.95871,
23,1.752446,4.290111,6.337642,20.45875,0.184771,0.023676,0.468192,8.698237,1.390811,0.127426,8.346338,39.66888,
24,1.411971,8.9075,4.938929,18.95206,0.154494,0.046203,0.452983,6.423655,1.09199,0.186927,8.949612,38.65346,
25,0.240529,22.5218,1.506481,18.88551,0.031299,0.027636,0.17151,1.978544,0.303677,0.189714,11.93271,42.35714,
26,0.039839,25.41121,0.488351,18.46107,0.047033,0.03238,0.043165,0.631985,0.057755,0.167282,12.34773,42.19505,
