Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.172552,26.10619,0.830444,18.80268,0.015302,0.0139,0.063117,0.619635,0.114205,0.145683,9.667929,42.66147,
1.5,1.458639,6.962682,5.572533,19.96216,0.114433,0.077625,0.779249,5.908511,1.590278,0.136188,7.350188,38.72826,
3,1.685957,3.186292,6.77179,22.01935,0.13388,0.036233,0.879625,8.739439,2.268622,0.13119,6.632651,41.14012,
4.5,1.600574,3.183894,6.940691,22.86265,0.150772,0.049745,0.787405,9.287275,2.27535,0.140875,6.986985,42.56762,
6,1.492731,3.371767,6.813812,22.82484,0.147811,0.049146,0.719576,9.396319,2.255395,0.137262,7.121452,42.553,
7.5,1.460748,3.487498,6.702223,22.76957,0.142623,0.031433,0.73212,9.380894,2.244949,0.131893,7.224623,42.44391,
9,1.490782,3.590322,6.68338,22.83731,0.131637,0.049915,0.719532,9.384542,2.24642,0.095254,7.308344,42.58417,
10.5,1.478809,3.547478,6.733974,22.78142,0.133692,0.034396,0.71059,9.324585,2.269363,0.094942,7.292222,42.51696,
12,1.428517,3.56974,6.681914,22.7949,0.122865,0.061212,0.716487,9.442018,2.186312,0.106233,7.22965,42.45736,
13.5,1.482187,3.561586,6.704053,22.79632,0.143518,0.041466,0.714717,9.408336,2.160711,0.124823,7.304112,42.51281,
15,1.471053,3.538066,6.698662,22.79581,0.148407,0.042184,0.721982,9.393417,2.263804,0.120923,7.27924,42.56403,
16.5,1.521009,3.428356,6.833447,22.92841,0.13093,0.042464,0.735622,9.441237,2.250387,0.086708,7.223805,42.75101,
18,1.521037,3.240578,6.876664,23.00363,0.144086,0.043205,0.813193,9.271642,2.307413,0.142397,6.929509,42.64755,
19.5,1.555707,3.21485,7.107798,23.06516,0.144971,0.045281,0.876767,8.807041,2.228237,0.089731,6.702174,42.6156,
21,1.660143,5.28162,6.748665,22.98396,0.096632,0.045205,0.85155,6.941856,1.772334,0.087139,6.982936,42.58958,
22.5,0.925817,16.52468,4.084911,22.16735,0.055459,0.003304,0.363039,2.346648,0.597384,0.155622,9.446686,44.42943,
24,0.023622,27.33014,0.379902,19.55114,-0.00851,-0.00076,0.001581,0.327001,0.018887,0.150026,9.106087,43.47723,
25.5,-0.01463,27.83335,0.188098,18.67525,-0.0177,0.010509,0.014072,0.255093,0.003533,0.129378,9.094641,42.59978,
