Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.108834,26.37951,0.75258,19.24711,-0.006693,-0.016556,0.025371,0.481671,0.054794,0.161701,11.15757,43.61521,
1,1.155257,15.65716,4.205552,19.54059,0.047209,0.025655,0.192661,2.583933,0.394021,0.124713,10.02324,41.0614,
2,1.645287,8.668325,6.194369,20.7157,0.112494,0.027486,0.314704,5.312501,0.760966,0.109397,8.712185,40.81331,
3,1.733784,5.432107,7.027903,21.7401,0.140319,0.024638,0.377835,7.292638,1.092035,0.122997,8.123703,41.53971,
4,1.766604,4.159435,7.374185,22.36484,0.163356,0.053829,0.382624,8.456492,1.2086,0.140248,7.812971,42.20418,
5,1.751281,3.876016,7.464099,22.62571,0.159084,0.033472,0.40583,9.094911,1.20588,0.121658,7.75109,42.61883,
6,1.687005,3.91351,7.45355,22.80127,0.185126,0.048828,0.384011,9.265198,1.273055,0.080002,7.825105,42.97835,
7,1.715681,3.962986,7.488059,22.80464,0.143731,0.03931,0.382738,9.35374,1.259531,0.107555,7.744419,43.05559,
8,1.690625,4.072353,7.425978,22.85682,0.173468,0.038862,0.371974,9.259925,1.246866,0.111133,7.808011,43.07392,
9,1.72977,4.047793,7.397331,22.6727,0.162089,0.048727,0.40192,9.270489,1.237652,0.096322,7.859531,42.84945,
10,1.713778,4.138551,7.440782,22.76316,0.185495,0.031391,0.400321,9.234845,1.255228,0.116146,7.802754,43.02534,
11,1.739691,4.156189,7.413039,22.69227,0.190769,0.048039,0.39125,9.196665,1.263511,0.143874,7.785556,42.97473,
12,1.623616,4.185987,7.38809,22.62198,0.151032,0.035018,0.427568,9.157268,1.236822,0.127808,7.845921,42.75545,
13,1.739048,4.119029,7.467443,22.82547,0.152812,0.065345,0.395865,9.138497,1.21123,0.092329,7.861635,43.02718,
14,1.667858,4.181395,7.406823,22.70824,0.163339,0.051308,0.402764,9.063362,1.285824,0.134322,7.785486,42.8527,
15,1.725009,4.221959,7.428208,22.67426,0.149935,0.048811,0.412049,9.079416,1.218878,0.103948,7.702931,42.85564,
16,1.68939,4.183835,7.458018,22.86606,0.164305,0.041459,0.410181,9.119905,1.267269,0.125467,7.841829,43.15562,
17,1.689249,4.208687,7.428618,22.72166,0.195753,0.03502,0.386077,9.020627,1.258957,0.150437,7.821806,42.97701,
18,1.738432,4.24856,7.440657,22.63795,0.167016,0.066773,0.387297,9.126494,1.256247,0.096047,7.820555,42.90559,
19,1.768768,4.24731,7.376952,22.79571,0.154767,0.053666,0.381394,9.097083,1.238947,0.091388,7.814826,42.99633,
20,1.700368,4.172019,7.376037,22.70463,0.150207,0.05533,0.41475,9.063334,1.265372,0.10695,7.847796,42.8074,
21,1.737632,4.150041,7.241445,22.27089,0.176411,0.05447,0.399887,9.055491,1.24439,0.119593,7.610333,42.14579,
22,1.558787,4.044333,6.766278,20.98551,0.135047,0.052846,0.381208,8.774452,1.19752,0.065305,7.573133,40.00307,
23,0.459222,1.803599,3.612518,12.30037,0.054881,0.03191,0.324283,7.885096,1.088355,0.119936,7.313241,24.7743,
