Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.25114,0.038506,27.49087,0.559522,19.01978,0.012049,-0.014424,0.025476,0.368291,0.021533,0.13323,9.263503,
0.999999999999999,43.86264,0.499513,22.5179,2.349078,19.73528,0.034058,0.016442,0.09147,1.392097,0.329213,0.160776,11.6184,
2,41.63593,1.854973,5.943753,7.381543,21.71021,0.119684,0.075773,0.504802,6.500395,1.340944,0.08593,6.515422,
3,43.35716,1.997858,2.518272,8.566322,23.52655,0.149705,0.073215,0.579689,8.674667,1.82886,0.087496,5.029658,
4,44.09467,2.058328,1.760257,8.851925,24.1467,0.13906,0.080496,0.59482,9.413559,1.929533,0.039026,4.720292,
5,44.55678,2.027829,1.682147,8.837598,24.37066,0.169272,0.090899,0.596237,9.644048,1.987512,0.076332,4.90699,
6,44.34401,1.973284,1.809999,8.638672,24.31284,0.157922,0.09234,0.561166,9.755625,1.938982,0.065375,5.023161,
7,44.52317,1.890666,1.934485,8.651166,24.32338,0.154717,0.086349,0.544402,9.771173,1.967031,0.082192,5.125147,
8,44.28369,1.86606,1.985696,8.5691,24.13847,0.161145,0.107683,0.545183,9.833163,1.942345,0.113411,5.234149,
9,44.17925,1.810837,2.063932,8.512726,24.0879,0.161168,0.071415,0.517451,9.821072,1.907539,0.077267,5.233464,
10,44.39597,1.833842,2.117888,8.505075,24.17067,0.171913,0.095237,0.514991,9.887813,1.906759,0.116742,5.339323,
11,44.3196,1.828759,2.159472,8.380592,24.14818,0.157813,0.084849,0.518401,9.964508,1.929993,0.103952,5.389215,
12,44.20295,1.810591,2.190443,8.4209,24.03825,0.165378,0.098183,0.485057,9.890442,1.910427,0.094391,5.408191,
13,44.11501,1.80799,2.211831,8.300681,23.98055,0.170121,0.080179,0.527102,9.952812,1.942549,0.074945,5.456907,
14,44.35521,1.770818,2.289005,8.382779,24.05894,0.156544,0.066665,0.513571,9.958137,1.953076,0.114493,5.556684,
15,44.07182,1.819612,2.281034,8.330155,23.96271,0.131331,0.084806,0.465,9.89279,1.921636,0.068837,5.42245,
16,44.04535,1.835937,2.310647,8.29987,23.87673,0.123295,0.096412,0.497206,9.99359,1.956434,0.046123,5.514593,
17,44.2752,1.759104,2.413705,8.312662,24.01905,0.168356,0.079777,0.50864,9.952761,1.901046,0.128453,5.463669,
18,44.1583,1.77225,2.331247,8.293861,24.00271,0.151701,0.070554,0.50408,9.976698,1.946028,0.04857,5.552641,
19,44.10811,1.790769,2.362396,8.333819,23.93705,0.137296,0.083137,0.503917,9.965361,1.895782,0.087479,5.550069,
20,44.1203,1.764861,2.371891,8.283237,23.98352,0.152675,0.075658,0.507582,9.924294,1.878113,0.123354,5.440439,
21,44.09481,1.701059,2.410814,8.308157,23.91001,0.150731,0.114683,0.490015,10.01788,1.890151,0.099723,5.466459,
22,44.05911,1.746465,2.410222,8.274475,23.85667,0.140643,0.07257,0.484284,9.986538,1.962087,0.087352,5.556445,
23,44.0714,1.728896,2.381971,8.217159,23.95162,0.168708,0.102512,0.484974,9.927114,1.908732,0.05828,5.596542,
24,44.05462,1.745527,2.416567,8.226396,23.9082,0.154693,0.10185,0.517463,9.936619,1.909842,0.109596,5.519324,
25,43.97068,1.719603,2.39573,8.241193,23.86652,0.155154,0.079895,0.493307,9.932434,1.872608,0.070815,5.54145,
26,44.05902,1.722055,2.418437,8.195024,23.96834,0.139037,0.073182,0.498448,9.973714,1.91816,0.079681,5.492003,
27,44.11419,1.771991,2.421146,8.248083,23.89021,0.171922,0.081602,0.502506,9.936161,1.883882,0.075188,5.522451,
28,44.16534,1.791541,2.433846,8.239788,24.00266,0.155699,0.074577,0.488223,9.962717,1.901237,0.123433,5.472948,
29,44.13456,1.727571,2.375684,8.254179,23.95255,0.153287,0.095704,0.480648,9.899556,1.931924,0.079074,5.611722,
30,44.12311,1.753781,2.390424,8.217152,23.93255,0.171403,0.072192,0.476427,9.925585,1.945115,0.086169,5.544503,
31,44.2166,1.69216,2.394964,8.306838,24.00811,0.155099,0.095338,0.505018,9.916314,1.917312,0.084821,5.490687,
32,43.99736,1.752342,2.393625,8.273389,23.82938,0.15304,0.094337,0.492375,10.00474,1.941616,0.117141,5.437166,
33,44.03542,1.765002,2.26499,8.31928,23.93604,0.175668,0.085681,0.502851,9.890864,1.912691,0.093547,5.438799,
34,44.1864,1.82416,2.358577,8.280787,23.98189,0.173616,0.0803,0.521458,9.951229,1.900504,0.090435,5.475856,
35,44.20964,1.787384,2.30875,8.352942,24.03645,0.160659,0.077427,0.48942,9.962976,1.914679,0.077786,5.404969,
36,44.20614,1.832653,2.298951,8.322561,24.04373,0.153652,0.080596,0.501951,9.941259,1.916078,0.111047,5.348002,
37,44.11198,1.876518,2.213973,8.379441,23.95778,0.165286,0.073936,0.505972,9.829795,1.928305,0.063333,5.408145,
38,44.23507,1.862063,2.232103,8.412836,24.03067,0.155372,0.070843,0.505245,9.898246,1.942666,0.068208,5.391649,
39,44.17054,1.925787,2.215168,8.414778,24.00807,0.13477,0.092497,0.528239,9.880783,1.929509,0.096681,5.316732,
40,44.2035,1.788264,2.147316,8.441801,24.1207,0.156574,0.092156,0.538278,9.774526,1.906336,0.050713,5.284543,
41,44.22485,1.875361,2.158888,8.45089,24.11255,0.170207,0.091698,0.538212,9.774007,1.932083,0.051364,5.170465,
42,44.40269,1.892013,2.058393,8.58355,24.18966,0.19475,0.096566,0.525756,9.76206,1.932433,0.117903,5.126438,
43,44.23462,1.916166,2.018815,8.624256,24.0706,0.168571,0.096822,0.591407,9.71411,1.923729,0.078135,4.975657,
44,44.47901,1.975438,1.904946,8.76725,24.32944,0.165973,0.082373,0.572244,9.608008,1.899691,0.062995,4.896719,
45,44.42464,2.068875,1.944824,8.798369,24.32344,0.167545,0.078677,0.588253,9.399323,1.918204,0.059598,4.721927,
46,44.50864,2.107458,2.82999,8.680957,24.28267,0.147106,0.096238,0.587876,8.616302,1.846518,0.081543,4.959425,
47,44.68243,1.868395,6.215136,7.863878,23.80984,0.135531,0.064184,0.514081,6.65564,1.416637,0.132387,6.35685,
48,46.73584,0.957079,18.59082,4.195197,22.68461,0.068416,0.017735,0.206208,2.229684,0.598291,0.142888,10.70712,
49,43.98307,0.091296,26.71319,0.652361,19.91672,0.008185,0.004292,0.01484,0.405932,0.031703,0.117533,9.735373,
