Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.031078,27.79464,0.480531,19.27368,0.000519,0.025712,0.487713,0.033379,0.126928,10.09425,43.944,
1.5,1.493222,10.6743,4.745654,20.31424,0.064765,0.267037,5.231148,0.697105,0.099022,9.178693,40.27452,
3,1.961896,3.062152,6.746819,22.76818,0.154335,0.351574,9.56476,1.226063,0.121523,7.172088,41.71987,
4.5,1.959774,2.41914,7.084615,23.96066,0.180347,0.304724,10.3842,1.293698,0.143985,7.396039,43.43016,
6,1.878202,2.603343,7.089719,24.20276,0.186059,0.322573,10.61878,1.287783,0.131138,7.722559,43.98412,
7.5,1.825308,2.734002,6.94026,24.11883,0.133666,0.273306,10.64628,1.314202,0.100132,7.887345,43.84292,
9,1.819105,2.854048,6.792642,24.1663,0.154165,0.2683,10.69709,1.296011,0.134019,8.087429,43.90338,
10.5,1.728043,2.918257,6.750921,23.99091,0.140809,0.270254,10.75988,1.320974,0.145345,8.082461,43.74548,
12,1.717146,2.962548,6.684008,23.93071,0.166537,0.263486,10.73186,1.259836,0.123197,8.148074,43.62643,
13.5,1.714555,3.024121,6.738603,23.80995,0.19171,0.257977,10.77564,1.274678,0.113672,8.225061,43.63953,
15,1.675463,3.080745,6.632671,23.82779,0.154134,0.252049,10.79163,1.301278,0.170951,8.190271,43.54172,
16.5,1.648481,3.08615,6.631484,23.80874,0.180984,0.262882,10.75347,1.277572,0.132928,8.180616,43.53652,
18,1.65638,3.05107,6.579848,23.82778,0.169905,0.253872,10.79385,1.275722,0.170557,8.188633,43.47576,
19.5,1.677029,3.040312,6.648559,23.86035,0.156616,0.259653,10.78177,1.289478,0.131825,8.152694,43.5093,
21,1.70304,3.042518,6.660204,23.88761,0.153772,0.262482,10.8161,1.291546,0.144944,8.230705,43.66536,
22.5,1.699726,2.999968,6.631038,23.82361,0.17001,0.295161,10.75928,1.3042,0.187895,8.083797,43.46836,
24,1.669482,2.886974,6.663474,23.78679,0.151994,0.283973,10.72407,1.275684,0.172733,8.078332,43.37448,
25.5,1.743252,2.844651,6.732639,23.87197,0.160752,0.261952,10.66166,1.289768,0.132393,7.956738,43.46197,
27,1.809202,2.70401,6.81317,23.89965,0.164423,0.279617,10.6066,1.360114,0.154694,7.831394,43.47859,
28.5,1.832522,2.568362,6.956925,23.97346,0.171184,0.315586,10.49398,1.27171,0.120826,7.608627,43.45237,
30,1.956167,2.41183,7.1541,23.98035,0.181529,0.332133,10.32591,1.292659,0.12461,7.29038,43.42334,
31.5,1.930395,4.525799,7.114516,24.41598,0.118622,0.339877,8.964352,1.175884,0.112321,7.116292,44.55395,
