Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.012832,27.0788,0.29835,19.51283,-0.00111,0.002421,-0.002546,0.266389,0.012148,0.171638,10.07777,43.46183,
1,0.23908,24.71513,1.303762,20.78469,0.031973,0.003634,0.052272,0.639781,0.157505,0.151661,11.1783,44.90619,
2,0.917513,17.84975,3.827614,21.83733,0.070015,0.015736,0.227386,1.93247,0.355387,0.114842,10.12753,44.52906,
3,1.402132,12.51052,5.590958,22.7462,0.05409,0.015761,0.331582,3.32458,0.627452,0.12624,9.070376,44.19405,
4,1.709959,8.787327,6.729395,23.31333,0.078991,0.040599,0.470685,4.590309,0.8289,0.079545,7.963548,43.85995,
5,1.799077,6.495485,7.397402,23.67043,0.082491,0.050076,0.506451,5.517939,1.057318,0.115134,7.143365,43.66275,
6,1.902554,4.870705,7.786805,24.11282,0.115898,0.074075,0.594315,6.234095,1.156827,0.113841,6.501791,43.72935,
7,1.94316,4.020596,8.173697,24.19211,0.144289,0.067194,0.599341,6.786858,1.23626,0.09467,6.12886,43.80841,
8,1.940317,3.433934,8.397449,24.28268,0.118034,0.05846,0.616448,7.195942,1.336492,0.11622,5.907485,43.85606,
9,1.942747,3.098377,8.441331,24.34997,0.153165,0.064005,0.649387,7.37239,1.385694,0.110922,5.728093,43.93369,
10,1.896085,2.914995,8.417135,24.33727,0.131304,0.065821,0.651738,7.509435,1.374241,0.095276,5.589733,43.70792,
11,1.976574,2.93185,8.474094,24.22842,0.142758,0.079352,0.675018,7.478397,1.381903,0.093253,5.67631,43.72955,
12,1.948967,3.0824,8.392428,24.07456,0.153361,0.056442,0.683454,7.345458,1.324509,0.094552,5.648338,43.46001,
13,1.96734,3.451712,8.273738,23.98552,0.138006,0.045361,0.661451,7.004595,1.337021,0.066325,5.992332,43.44971,
14,1.934325,4.005437,8.126164,23.78963,0.138492,0.041079,0.608287,6.578729,1.259106,0.124783,6.334797,43.30986,
15,1.881733,5.053393,7.673786,22.89468,0.091003,0.04957,0.561358,5.891163,1.117583,0.143189,6.832076,42.23359,
16,1.749902,7.141068,6.976596,21.78343,0.098384,0.0376,0.474021,4.822043,0.899189,0.114314,7.777174,41.41329,
17,1.436754,11.06906,5.626851,20.31241,0.04429,0.028744,0.33245,3.397785,0.64052,0.1415,8.91596,40.47935,
18,0.696313,19.02147,3.01791,19.00239,0.039792,-0.01512,0.160853,1.503323,0.242759,0.173717,10.66654,41.14829,
19,0.09998,26.7386,0.482745,18.62301,0.008634,0.015587,-0.0077,0.352115,0.035226,0.142414,10.31251,42.53376,
20,-0.029152,27.91431,0.220467,18.81057,0.002756,-0.004747,-0.005419,0.246507,0.023456,0.090422,9.527799,42.9551,
