Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,P Wt%,
0,34.95349,1.377394,3.770794,5.41451,18.58187,0.122692,0.066367,0.364944,7.429817,1.502817,0.116405,5.772059,0.070763,
1.5,41.27899,1.614063,4.640468,6.320435,22.19139,0.112108,0.034114,0.387534,8.532631,1.691844,0.120293,6.361682,0.092052,
3,41.67829,1.622704,4.750022,6.440897,22.35472,0.127727,0.02384,0.383739,8.531146,1.691638,0.114279,6.355908,0.101745,
4.5,41.96103,1.647127,4.731517,6.575231,22.53605,0.12304,0.025767,0.400045,8.526436,1.714433,0.094012,6.282001,0.084524,
6,41.9996,1.688636,4.732965,6.506486,22.56925,0.127077,0.029845,0.42963,8.501842,1.734984,0.110014,6.214135,0.119585,
7.5,42.09153,1.63793,4.670154,6.55456,22.64656,0.12399,0.045348,0.422363,8.467813,1.743794,0.118252,6.346939,0.114484,
9,41.95419,1.663572,4.632342,6.505452,22.588,0.106906,0.042744,0.416431,8.532469,1.768013,0.133318,6.361359,0.087614,
10.5,42.11193,1.68758,4.483934,6.680488,22.66605,0.125329,0.023001,0.444226,8.589266,1.7307,0.141735,6.187768,0.102115,
12,42.16744,1.768094,4.313037,6.740505,22.84082,0.1076,0.024413,0.457017,8.444753,1.767064,0.080173,6.139513,0.083939,
13.5,41.86528,1.814824,4.219378,6.872977,22.64752,0.12733,0.030893,0.459141,7.966953,1.764483,0.079078,5.935954,0.135612,
15,40.44344,1.906781,5.536147,6.525167,21.60542,0.107838,0.022384,0.470854,6.518697,1.462349,0.117651,6.060622,0.086063,
16.5,39.28936,1.432719,12.16882,4.927122,19.63292,0.066879,-0.013641,0.342433,3.23942,0.792843,0.07307,6.841743,0.045584,
18,41.57955,0.11302,26.53707,0.643166,18.40292,-0.006917,0.012393,0.02487,0.37091,0.046887,0.115951,8.141648,-0.001213,
