Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,0.010568,27.18551,0.265845,18.78128,0.027231,0.024006,0.249731,0.015268,0.149766,11.30801,43.01031,
1,0.152988,25.31712,0.686739,18.85121,0.015224,0.001059,0.423517,0.067373,0.204927,12.37097,42.72462,
2,1.497567,15.14726,3.891618,19.81465,0.048207,0.137057,2.294555,0.4525,0.179332,11.20604,41.21719,
3,2.19339,9.580627,5.630274,21.20441,0.172493,0.205194,3.840225,0.765621,0.123809,9.918217,41.46541,
4,1.253209,6.488723,6.518246,22.26915,0.672144,0.308505,5.002673,1.01896,0.102351,9.204894,42.29763,
5,0.526243,4.894848,6.259116,21.24468,1.383627,0.370888,5.249137,1.013137,0.120288,8.93668,40.80791,
6,0.333329,3.958647,5.483996,19.36952,1.45672,0.31621,5.1892,1.032244,0.15829,8.904448,37.46138,
7,0.567243,5.056011,6.334896,21.49853,0.799039,0.320882,5.327032,1.103572,0.120828,8.863369,40.47873,
8,1.210517,8.192265,6.061611,22.16866,0.258119,0.247525,4.474471,0.925129,0.14028,9.524895,42.19274,
9,1.59814,13.26042,4.640186,21.58888,0.058417,0.217508,2.928371,0.589368,0.166243,11.03228,42.93043,
10,0.30878,21.8367,1.695941,19.81748,0.007724,0.059386,0.852552,0.265054,0.200144,13.2168,43.05131,
