Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.77903,0.045256,27.25397,0.432031,18.83836,0.007273,-0.005279,0.014664,0.35546,0.031895,0.142589,9.112559,
1.5,43.76926,1.182316,12.88849,5.289734,22.11152,0.071256,0.015369,0.570039,3.718325,0.982212,0.110589,8.774872,
3,42.93306,1.660768,3.722542,7.261679,23.09616,0.137456,0.018566,0.92705,8.34112,2.074529,0.093173,6.486388,
4.5,42.96403,1.591404,2.899007,7.145453,23.19471,0.135557,0.054637,0.843296,9.244198,2.327612,0.12599,6.720723,
6,42.85654,1.586955,3.114672,7.027311,23.00729,0.146128,0.069093,0.775432,9.354876,2.297574,0.065852,6.916864,
7.5,42.8242,1.562685,3.266349,6.954415,22.92975,0.149967,0.0496,0.74323,9.430369,2.217626,0.121284,7.021502,
9,42.46227,1.532593,3.31132,6.805503,22.71392,0.155259,0.043529,0.742829,9.357116,2.259705,0.142778,7.115822,
10.5,42.50008,1.471982,3.370482,6.718539,22.84705,0.113038,0.049906,0.708404,9.43633,2.217362,0.115432,7.154796,
12,42.47804,1.496495,3.462475,6.760181,22.70308,0.133546,0.06123,0.739524,9.370984,2.226388,0.088761,7.21079,
13.5,42.61308,1.47155,3.505857,6.757667,22.76271,0.141557,0.05481,0.729265,9.44681,2.232394,0.132985,7.233585,
15,42.61466,1.50769,3.481801,6.742055,22.74699,0.147745,0.047061,0.745631,9.3993,2.201715,0.178607,7.2712,
16.5,42.47783,1.519896,3.457226,6.738516,22.73245,0.122395,0.024865,0.744549,9.360589,2.23642,0.117645,7.184769,
18,42.55545,1.457725,3.564977,6.774798,22.7883,0.100734,0.065637,0.732856,9.399634,2.211453,0.109298,7.127811,
19.5,42.66764,1.42132,3.438228,6.809123,22.81703,0.151579,0.028305,0.744683,9.386793,2.259533,0.130994,7.207672,
21,42.57759,1.464201,3.428401,6.790053,22.83447,0.115952,0.040947,0.748067,9.41123,2.207386,0.107819,7.235264,
22.5,42.56305,1.538134,3.381418,6.787585,22.82417,0.128029,0.050826,0.752101,9.347471,2.225258,0.125849,7.143675,
24,42.56381,1.492783,3.386003,6.836422,22.73699,0.138855,0.04821,0.718868,9.43025,2.22667,0.071388,7.285844,
25.5,42.6689,1.491189,3.268777,6.880486,22.88565,0.161743,0.037219,0.74607,9.325885,2.264637,0.06329,7.196748,
27,42.60763,1.555127,3.144721,6.944843,22.87185,0.148803,0.054815,0.783761,9.351232,2.252537,0.100569,6.99927,
28.5,42.73148,1.503382,3.077947,6.995372,22.99538,0.138141,0.052503,0.808157,9.372416,2.299653,0.1583,6.917105,
30,42.67028,1.619433,2.89735,7.150834,22.88843,0.139364,0.048602,0.785445,9.320931,2.305521,0.107477,6.87568,
31.5,42.41585,1.65004,2.799902,7.210865,22.82497,0.143765,0.040992,0.851086,9.012598,2.24268,0.092871,6.635854,
33,41.2882,1.66454,5.313966,6.691293,21.73315,0.131623,0.047413,0.831005,6.95603,1.848512,0.115512,7.022259,
34.5,42.54419,0.379177,23.00895,1.917711,19.11751,0.009011,0.009964,0.15819,1.161891,0.281579,0.164311,10.14064,
36,42.41001,-0.009241,27.72042,0.305919,18.43026,0.000043,-0.030935,-0.017177,0.275895,0.020224,0.134368,9.108855,
