Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,41.84481,2.144319,4.277346,7.379023,21.1143,0.211048,0.073286,0.915409,9.591906,1.507244,0.101683,7.875688,
1.5,41.8733,2.068821,4.520253,7.137028,21.13221,0.262957,0.042944,0.832685,9.60053,1.437479,0.13466,8.044592,
3,41.77121,2.12946,4.709362,7.090154,20.98916,0.210956,0.074055,0.810869,9.50929,1.407221,0.120465,8.043556,
4.5,41.70918,2.173451,4.801605,7.085191,20.94649,0.236806,0.061406,0.883407,9.465672,1.381519,0.104213,7.934109,
6,41.59779,2.131715,4.941234,6.994092,20.89155,0.240531,0.089758,0.838448,9.304114,1.379474,0.105234,7.959072,
7.5,41.55993,2.149947,4.937729,7.071112,20.85871,0.225574,0.04516,0.84086,9.284222,1.415222,0.140813,7.883579,
9,41.68441,2.142796,4.914189,7.101713,20.98112,0.232476,0.071493,0.845093,9.244818,1.417953,0.114744,7.890994,
10.5,41.51366,2.112886,4.962196,7.063955,20.86513,0.237026,0.049515,0.853543,9.202844,1.390696,0.122493,7.863963,
12,41.57439,2.14077,4.889758,7.042866,20.89732,0.228296,0.073213,0.836532,9.264462,1.412201,0.076638,7.999946,
13.5,41.50895,2.098091,4.84335,7.083277,20.8635,0.224259,0.064025,0.842702,9.258396,1.390153,0.131281,7.946314,
15,41.44659,2.074183,4.793098,6.999118,20.78461,0.220472,0.084135,0.863519,9.431736,1.422879,0.092864,8.080045,
16.5,41.48898,2.131408,4.59883,7.044522,20.89723,0.213801,0.083676,0.842854,9.47917,1.427893,0.12657,7.974435,
18,41.64906,2.130602,4.428697,7.151453,21.01075,0.209829,0.070312,0.864987,9.543172,1.41885,0.134631,8.00761,
19.5,40.89013,2.174986,4.108925,7.067353,20.59725,0.210877,0.080481,0.909222,9.390511,1.491736,0.125804,8.021332,
21,38.69688,2.066411,5.365991,6.313103,18.99285,0.224134,0.049385,0.987599,8.721105,1.453229,0.081357,7.401658,
22.5,42.23363,0.296861,23.67786,1.386119,18.61098,0.03424,0.004434,0.230388,2.013823,0.308985,0.157306,10.09792,
24,42.16356,0.005816,26.70022,0.267361,18.33963,-0.004595,-0.007743,0.011767,0.457542,0.035568,0.133169,10.93462,
25.5,42.41687,-0.039404,27.12485,0.186539,18.40159,0.015535,0.007172,-0.001163,0.351857,0.021757,0.207162,10.86809,
27,42.40324,-0.020787,27.32054,0.201038,18.35685,0.016459,0.001636,0.002206,0.344057,0.014482,0.166359,10.55122,
