Distance (µm),Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,O Wt%,
0,-0.008876,28.14056,0.235129,18.66784,0.001781,-0.010006,0.301417,0.036323,0.102857,8.742926,42.8333,
1.5,0.032425,27.65836,0.394179,18.63741,0.002115,-0.005897,0.366066,0.041826,0.14804,8.958948,42.67159,
3,1.397466,14.56924,4.476219,20.32032,0.062724,0.26202,3.447438,0.710929,0.125034,9.908177,42.20042,
4.5,2.428117,2.998173,7.53339,23.37975,0.157262,0.45854,8.606313,1.689434,0.098354,5.896726,42.86857,
6,2.30953,2.307756,7.59767,23.82409,0.140644,0.394821,9.496794,1.764861,0.073881,6.125911,43.31409,
7.5,2.22511,2.500247,7.385045,23.64649,0.137414,0.371491,9.706606,1.722698,0.08693,6.375474,43.14927,
9,2.234934,2.564632,7.335351,23.40515,0.140578,0.381187,9.624414,1.762146,0.081659,6.475821,42.90736,
10.5,2.163832,2.64143,7.226029,23.43159,0.142465,0.377467,9.727818,1.715522,0.108334,6.556657,42.95041,
12,2.159167,2.684198,7.247614,23.54608,0.127155,0.364865,9.646666,1.716458,0.108753,6.52004,42.96161,
13.5,2.196132,2.698389,7.248526,23.54047,0.133167,0.359032,9.698627,1.721267,0.127453,6.50924,43.09369,
15,2.170367,2.633397,7.256112,23.63781,0.136447,0.389224,9.619307,1.716439,0.134469,6.483256,43.07056,
16.5,2.139399,2.656261,7.314772,23.6056,0.140526,0.381195,9.661808,1.694174,0.038714,6.460398,43.08778,
18,2.233518,2.574099,7.378364,23.63515,0.146321,0.360282,9.678284,1.717008,0.128717,6.391957,43.19495,
19.5,2.291157,2.339881,7.546162,23.73823,0.134002,0.41885,9.500072,1.780114,0.104152,6.121231,43.29616,
21,2.432862,2.55021,7.795742,23.96906,0.126683,0.466542,9.086379,1.728009,0.121216,5.766981,43.59829,
22.5,1.828864,8.31986,6.748152,22.79642,0.109704,0.44592,6.42998,1.285994,0.066825,7.053021,43.86345,
24,0.135718,26.15992,0.942945,19.14314,0.00795,0.034632,0.82262,0.147601,0.116878,9.511434,43.19491,
